	cond_1v2_log2FC	cond_1v2_Padj	cond_1v2_Sig	cond_1v3_log2FC	cond_1v3_Padj	cond_1v3_Sig	cond_1v4_log2FC	cond_1v4_Padj	cond_1v4_Sig	cond_1v5_log2FC	cond_1v5_Padj	cond_1v5_Sig	cond_1v6_log2FC	cond_1v6_Padj	cond_1v6_Sig	cond_1v7_log2FC	cond_1v7_Padj	cond_1v7_Sig	cond_1v8_log2FC	cond_1v8_Padj	cond_1v8_Sig	cond_1v9_log2FC	cond_1v9_Padj	cond_1v9_Sig	cond_2v3_log2FC	cond_2v3_Padj	cond_2v3_Sig	cond_2v4_log2FC	cond_2v4_Padj	cond_2v4_Sig	cond_2v5_log2FC	cond_2v5_Padj	cond_2v5_Sig	cond_2v6_log2FC	cond_2v6_Padj	cond_2v6_Sig	cond_2v7_log2FC	cond_2v7_Padj	cond_2v7_Sig	cond_2v8_log2FC	cond_2v8_Padj	cond_2v8_Sig	cond_2v9_log2FC	cond_2v9_Padj	cond_2v9_Sig	cond_3v4_log2FC	cond_3v4_Padj	cond_3v4_Sig	cond_3v5_log2FC	cond_3v5_Padj	cond_3v5_Sig	cond_3v6_log2FC	cond_3v6_Padj	cond_3v6_Sig	cond_3v7_log2FC	cond_3v7_Padj	cond_3v7_Sig	cond_3v8_log2FC	cond_3v8_Padj	cond_3v8_Sig	cond_3v9_log2FC	cond_3v9_Padj	cond_3v9_Sig	cond_4v5_log2FC	cond_4v5_Padj	cond_4v5_Sig	cond_4v6_log2FC	cond_4v6_Padj	cond_4v6_Sig	cond_4v7_log2FC	cond_4v7_Padj	cond_4v7_Sig	cond_4v8_log2FC	cond_4v8_Padj	cond_4v8_Sig	cond_4v9_log2FC	cond_4v9_Padj	cond_4v9_Sig	cond_5v6_log2FC	cond_5v6_Padj	cond_5v6_Sig	cond_5v7_log2FC	cond_5v7_Padj	cond_5v7_Sig	cond_5v8_log2FC	cond_5v8_Padj	cond_5v8_Sig	cond_5v9_log2FC	cond_5v9_Padj	cond_5v9_Sig	cond_6v7_log2FC	cond_6v7_Padj	cond_6v7_Sig	cond_6v8_log2FC	cond_6v8_Padj	cond_6v8_Sig	cond_6v9_log2FC	cond_6v9_Padj	cond_6v9_Sig	cond_7v8_log2FC	cond_7v8_Padj	cond_7v8_Sig	cond_7v9_log2FC	cond_7v9_Padj	cond_7v9_Sig	cond_8v9_log2FC	cond_8v9_Padj	cond_8v9_Sig
639295491	-0.77 	0.018 	TRUE	-0.93 	0.003 	TRUE	-0.73 	0.026 	TRUE	-0.89 	0.0052	TRUE	-2.2  	4e-14 	TRUE	-1.8  	2.7e-10	TRUE	-1.1  	0.00012	TRUE	-0.2  	0.54  	FALSE	-0.16 	0.87  	FALSE	0.037 	0.96  	FALSE	-0.12 	0.92  	FALSE	-1.4  	9.1e-07	TRUE	-1.1  	0.00023	TRUE	-0.35 	0.23  	FALSE	0.57  	0.062 	FALSE	0.2   	0.89  	FALSE	0.047 	1     	FALSE	-1.2  	1.2e-05	TRUE	-0.9  	0.0017	TRUE	-0.19 	0.53  	FALSE	0.73  	0.015 	TRUE	-0.15 	0.8   	FALSE	-1.4  	4.5e-07	TRUE	-1.1  	0.00014	TRUE	-0.39 	0.19  	FALSE	0.53  	0.084 	FALSE	-1.3  	6.3e-06	TRUE	-0.94 	0.001 	TRUE	-0.24 	0.43  	FALSE	0.69  	0.024 	TRUE	0.32  	0.37  	FALSE	1     	0.0014	TRUE	2     	1.5e-10	TRUE	0.71  	0.051 	FALSE	1.6   	1e-07 	TRUE	0.92  	0.004 	TRUE
639295492	-0.11 	0.66  	FALSE	-0.027	0.92  	FALSE	0.17  	0.46  	FALSE	0.047 	0.85  	FALSE	1.2   	5.5e-10	TRUE	1.7   	5.4e-14	TRUE	1.7   	2e-16 	TRUE	0.86  	7.4e-06	TRUE	0.08  	0.91  	FALSE	0.28  	0.35  	FALSE	0.15  	0.8   	FALSE	1.3   	1.5e-11	TRUE	1.8   	1.3e-15	TRUE	1.8   	2.2e-18	TRUE	0.97  	5e-07 	TRUE	0.2   	0.75  	FALSE	0.075 	1     	FALSE	1.2   	1.5e-10	TRUE	1.7   	1.3e-14	TRUE	1.7   	3.1e-17	TRUE	0.89  	3.2e-06	TRUE	-0.12 	0.74  	FALSE	1     	1.4e-07	TRUE	1.5   	2e-11 	TRUE	1.5   	2.6e-13	TRUE	0.69  	0.00044	TRUE	1.2   	2.6e-09	TRUE	1.6   	2.6e-13	TRUE	1.6   	1.3e-15	TRUE	0.81  	2.5e-05	TRUE	0.47  	0.096 	FALSE	0.46  	0.096 	FALSE	-0.34 	0.15  	FALSE	-0.015	0.97  	FALSE	-0.82 	0.0011	TRUE	-0.8  	0.00053	TRUE
639295493	-0.0041	0.99  	FALSE	-0.056	0.82  	FALSE	-0.1  	0.68  	FALSE	-0.073	0.77  	FALSE	1.1   	4.3e-09	TRUE	1.4   	5.6e-12	TRUE	1.5   	4.5e-15	TRUE	1.1   	3.2e-09	TRUE	-0.052	0.95  	FALSE	-0.096	0.81  	FALSE	-0.069	0.93  	FALSE	1.1   	4.5e-09	TRUE	1.4   	5.7e-12	TRUE	1.5   	4.9e-15	TRUE	1.1   	3.8e-09	TRUE	-0.044	0.97  	FALSE	-0.018	1     	FALSE	1.2   	5.5e-10	TRUE	1.5   	5.7e-13	TRUE	1.6   	2.7e-16	TRUE	1.2   	4.4e-10	TRUE	0.026 	0.96  	FALSE	1.2   	1.7e-10	TRUE	1.5   	1.7e-13	TRUE	1.6   	7.1e-17	TRUE	1.2   	1.4e-10	TRUE	1.2   	3.7e-10	TRUE	1.5   	3.8e-13	TRUE	1.6   	1.8e-16	TRUE	1.2   	2.9e-10	TRUE	0.31  	0.25  	FALSE	0.41  	0.12  	FALSE	0.016 	0.95  	FALSE	0.1   	0.81  	FALSE	-0.29 	0.25  	FALSE	-0.39 	0.095 	FALSE
639295494	-0.081	0.72  	FALSE	-0.067	0.76  	FALSE	0.081 	0.72  	FALSE	-0.03 	0.9   	FALSE	0.54  	0.0015	TRUE	0.9   	9.2e-07	TRUE	1.4   	1.2e-15	TRUE	0.68  	8.1e-05	TRUE	0.014 	0.98  	FALSE	0.16  	0.61  	FALSE	0.051 	0.94  	FALSE	0.62  	0.00028	TRUE	0.98  	8.8e-08	TRUE	1.5   	3e-17 	TRUE	0.76  	1.1e-05	TRUE	0.15  	0.83  	FALSE	0.037 	1     	FALSE	0.61  	0.00033	TRUE	0.97  	1e-07 	TRUE	1.5   	2.7e-17	TRUE	0.75  	1.3e-05	TRUE	-0.11 	0.74  	FALSE	0.46  	0.0076	TRUE	0.82  	9.3e-06	TRUE	1.3   	6.1e-14	TRUE	0.6   	0.00064	TRUE	0.57  	0.00088	TRUE	0.93  	3.7e-07	TRUE	1.5   	2.6e-16	TRUE	0.71  	4e-05 	TRUE	0.36  	0.11  	FALSE	0.88  	1.4e-05	TRUE	0.14  	0.51  	FALSE	0.52  	0.033 	TRUE	-0.22 	0.33  	FALSE	-0.74 	0.00021	TRUE
639295495	0.29  	0.11  	FALSE	0.31  	0.088 	FALSE	0.1   	0.63  	FALSE	0.29  	0.11  	FALSE	0.033 	0.85  	FALSE	0.061 	0.72  	FALSE	-0.059	0.73  	FALSE	-0.19 	0.25  	FALSE	0.016 	0.98  	FALSE	-0.19 	0.49  	FALSE	-0.0032	1     	FALSE	-0.26 	0.11  	FALSE	-0.23 	0.17  	FALSE	-0.35 	0.03  	TRUE	-0.49 	0.0029	TRUE	-0.21 	0.67  	FALSE	-0.019	1     	FALSE	-0.28 	0.087 	FALSE	-0.25 	0.14  	FALSE	-0.37 	0.022 	TRUE	-0.5  	0.0019	TRUE	0.19  	0.49  	FALSE	-0.069	0.68  	FALSE	-0.04 	0.82  	FALSE	-0.16 	0.33  	FALSE	-0.3  	0.077 	FALSE	-0.26 	0.12  	FALSE	-0.23 	0.18  	FALSE	-0.35 	0.032 	TRUE	-0.49 	0.003 	TRUE	0.029 	0.9   	FALSE	-0.092	0.73  	FALSE	-0.23 	0.23  	FALSE	-0.12 	0.67  	FALSE	-0.26 	0.17  	FALSE	-0.14 	0.48  	FALSE
639295496	0.36  	0.3   	FALSE	0.68  	0.033 	TRUE	0.85  	0.007 	TRUE	0.53  	0.11  	FALSE	3.5   	5.6e-36	TRUE	4.1   	1.3e-47	TRUE	3.7   	2e-39 	TRUE	3.9   	5.7e-43	TRUE	0.32  	0.7   	FALSE	0.49  	0.27  	FALSE	0.17  	0.87  	FALSE	3.2   	4.4e-29	TRUE	3.8   	9.6e-40	TRUE	3.3   	3e-32 	TRUE	3.5   	2.3e-35	TRUE	0.17  	0.92  	FALSE	-0.15 	1     	FALSE	2.8   	9.8e-24	TRUE	3.4   	1.8e-33	TRUE	3     	1.3e-26	TRUE	3.2   	2.1e-29	TRUE	-0.32 	0.53  	FALSE	2.7   	3.7e-21	TRUE	3.3   	2.2e-30	TRUE	2.8   	7.3e-24	TRUE	3     	1.6e-26	TRUE	3     	3.6e-26	TRUE	3.6   	2.4e-36	TRUE	3.2   	3.6e-29	TRUE	3.3   	4e-32 	TRUE	0.6   	0.087 	FALSE	0.18  	0.72  	FALSE	0.35  	0.31  	FALSE	-0.42 	0.32  	FALSE	-0.25 	0.49  	FALSE	0.18  	0.62  	FALSE
639295497	1.5   	1.6e-07	TRUE	1     	0.00075	TRUE	0.82  	0.0079	TRUE	1.1   	0.00015	TRUE	-0.52 	0.063 	FALSE	-0.82 	0.0033	TRUE	-0.65 	0.021 	TRUE	0.16  	0.61  	FALSE	-0.52 	0.4   	FALSE	-0.71 	0.064 	FALSE	-0.4  	0.55  	FALSE	-2    	2.6e-13	TRUE	-2.3  	4.7e-17	TRUE	-2.2  	7.3e-15	TRUE	-1.4  	1.6e-06	TRUE	-0.19 	0.9   	FALSE	0.12  	1     	FALSE	-1.5  	3.5e-08	TRUE	-1.8  	3.7e-11	TRUE	-1.7  	2.2e-09	TRUE	-0.85 	0.003 	TRUE	0.3   	0.55  	FALSE	-1.3  	1.5e-06	TRUE	-1.6  	3.6e-09	TRUE	-1.5  	1.4e-07	TRUE	-0.66 	0.023 	TRUE	-1.6  	3.5e-09	TRUE	-1.9  	2.4e-12	TRUE	-1.8  	1.8e-10	TRUE	-0.97 	0.00074	TRUE	-0.3  	0.39  	FALSE	-0.12 	0.8   	FALSE	0.68  	0.033 	TRUE	0.18  	0.72  	FALSE	0.98  	0.0011	TRUE	0.8   	0.009 	TRUE
639295498	-0.044	0.89  	FALSE	0.075 	0.8   	FALSE	0.05  	0.87  	FALSE	0.28  	0.27  	FALSE	-0.64 	0.0032	TRUE	-0.99 	4.8e-06	TRUE	-0.96 	9.1e-06	TRUE	-0.2  	0.39  	FALSE	0.12  	0.88  	FALSE	0.094 	0.85  	FALSE	0.33  	0.5   	FALSE	-0.6  	0.0064	TRUE	-0.94 	1.3e-05	TRUE	-0.91 	2.5e-05	TRUE	-0.16 	0.51  	FALSE	-0.025	0.99  	FALSE	0.21  	0.95  	FALSE	-0.72 	0.001 	TRUE	-1.1  	8.3e-07	TRUE	-1    	1.7e-06	TRUE	-0.27 	0.24  	FALSE	0.23  	0.55  	FALSE	-0.69 	0.0015	TRUE	-1    	1.6e-06	TRUE	-1    	3.3e-06	TRUE	-0.25 	0.29  	FALSE	-0.92 	2.1e-05	TRUE	-1.3  	3.4e-09	TRUE	-1.2  	8.1e-09	TRUE	-0.48 	0.033 	TRUE	-0.35 	0.19  	FALSE	-0.32 	0.28  	FALSE	0.44  	0.078 	FALSE	0.03  	0.95  	FALSE	0.79  	0.00066	TRUE	0.76  	0.0013	TRUE
639295499	0.3   	0.25  	FALSE	0.18  	0.51  	FALSE	0.26  	0.33  	FALSE	0.36  	0.15  	FALSE	1.1   	2.6e-07	TRUE	0.63  	0.0043	TRUE	0.44  	0.042 	TRUE	1.3   	8.5e-10	TRUE	-0.12 	0.87  	FALSE	-0.042	0.95  	FALSE	0.065 	0.94  	FALSE	0.82  	0.00019	TRUE	0.34  	0.14  	FALSE	0.15  	0.52  	FALSE	1     	2.8e-06	TRUE	0.079 	0.95  	FALSE	0.19  	0.96  	FALSE	0.94  	1.6e-05	TRUE	0.46  	0.042 	TRUE	0.27  	0.23  	FALSE	1.2   	1.2e-07	TRUE	0.11  	0.82  	FALSE	0.86  	8.5e-05	TRUE	0.38  	0.095 	FALSE	0.19  	0.4   	FALSE	1.1   	1e-06 	TRUE	0.75  	0.00063	TRUE	0.27  	0.24  	FALSE	0.082 	0.73  	FALSE	0.98  	1.1e-05	TRUE	-0.48 	0.072 	FALSE	-0.67 	0.0097	TRUE	0.22  	0.41  	FALSE	-0.19 	0.6   	FALSE	0.7   	0.0039	TRUE	0.89  	0.00017	TRUE
639295500	0.4   	0.17  	FALSE	0.26  	0.39  	FALSE	0.098 	0.77  	FALSE	0.31  	0.3   	FALSE	-0.69 	0.0052	TRUE	-0.68 	0.0061	TRUE	-0.5  	0.043 	TRUE	-0.37 	0.15  	FALSE	-0.14 	0.88  	FALSE	-0.3  	0.49  	FALSE	-0.093	0.93  	FALSE	-1.1  	1.1e-05	TRUE	-1.1  	1.4e-05	TRUE	-0.9  	0.00027	TRUE	-0.77 	0.0024	TRUE	-0.16 	0.9   	FALSE	0.046 	1     	FALSE	-0.95 	0.00011	TRUE	-0.95 	0.00013	TRUE	-0.77 	0.0019	TRUE	-0.63 	0.013 	TRUE	0.21  	0.66  	FALSE	-0.78 	0.0014	TRUE	-0.78 	0.0018	TRUE	-0.6  	0.016 	TRUE	-0.47 	0.07  	FALSE	-0.99 	5.4e-05	TRUE	-0.99 	6.6e-05	TRUE	-0.81 	0.0011	TRUE	-0.68 	0.0076	TRUE	0.0017	1     	FALSE	0.18  	0.64  	FALSE	0.32  	0.27  	FALSE	0.18  	0.67  	FALSE	0.31  	0.27  	FALSE	0.13  	0.66  	FALSE
