"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu3095",2143.65005276895,7.81639393220923,0.210016430006375,37.2180116192431,3.48958885533467e-303,1.746539222095e-299
"Atu4039",2293.70723107811,8.07698712143179,0.22033676510488,36.6574643935939,3.47995107074198e-294,8.70857755453182e-291
"Atu4095",4405.14705611261,6.43172530563095,0.181843426020586,35.3695783585976,5.01451972000944e-274,8.36589039954908e-271
"Atu3752",22230.3663661306,4.16152027690101,0.118024274039564,35.2598676057605,2.42219463845953e-272,3.03077104137248e-269
"Atu4135",1098.45675322417,5.4516148275457,0.157140629171471,34.6925862285873,1.01914428724438e-263,1.02016343153162e-260
"Atu1882",1699.89469387685,5.16724934467824,0.149222168531248,34.6278933990709,9.61280167316342e-263,8.01867872903049e-260
"Atu4094",5912.42915829441,6.00530177413653,0.176919650671632,33.9436673729508,1.5125642058926e-252,1.08148340721321e-249
"Atu0902",558.053431659037,7.25557335575131,0.21838251792386,33.2241491889062,4.82386565360626e-242,3.01793094953742e-239
"Atu4093",2534.17504160284,6.04579726342952,0.182528570841145,33.1224708305594,1.41124550087253e-240,7.84809303540779e-238
"Atu1501",5060.1258305873,8.2440403301587,0.249520681469354,33.0395071126448,2.20100203850879e-239,1.10160152027365e-236
"Atu0728",15104.670487241,7.97824083576818,0.248910480350373,32.0526513168019,2.01632278472933e-225,9.17426867051847e-223
"Atu2249",26184.6335129062,7.64065898613824,0.239302788992855,31.9288338355571,1.06287906523994e-223,4.4330914346049e-221
"Atu4134",1373.74234795305,8.08770721002388,0.256466021290081,31.5351997482588,2.86119656867475e-218,1.10156067893978e-215
"Atu4671",1112.27057494803,6.16002699537955,0.1993100840117,30.90675028273,9.69347419061252e-210,3.46541702314397e-207
"Atu4643",5159.26223886407,7.67438950204398,0.250750300185156,30.605704146225,1.02771555729472e-205,3.42914424284005e-203
"Atu5159",4862.115820831,7.8846989184421,0.257778347357978,30.5871264955105,1.81548716839209e-205,5.67907079862652e-203
"Atu0236",15456.0136806578,9.00903327348916,0.299460310110024,30.0842314301323,7.79161969566513e-199,2.29394450451788e-196
"Atu5494",8248.47556916204,8.06623684689693,0.268198322827499,30.0756423897737,1.0091479591681e-198,2.80599196424242e-196
"Atu3334",1103.99033539501,7.92904831068567,0.267538218167199,29.6370677991523,4.97824088446274e-193,1.31137345403874e-190
"Atu4726",2641.9952845508,9.06811675828676,0.308433272701372,29.4005788638328,5.39886980227102e-190,1.35106716801832e-187
