locus_tag,LB1,LB2,LB3,Glucose1,Glucose2,Glucose3,Mannose1,Mannose2,Mannose3,Mannitol1,Mannitol2,Mannitol3,Arabinose1,Arabinose2,Arabinose3,Acetate1,Acetate2,Acetate3,Succinate1,Succinate2,Succinate3,Fumarate1,Fumarate2,Fumarate3,PCA1,PCA2,PCA3
Atu0001,13.39,16.11,17.36,30.7,22.44,27.22,35.41,28.36,34.98,27.49,27.25,28.48,29.25,27.37,30.67,44.23,81.93,42.32,48.05,33.09,25.77,33.95,25.98,35.47,11.03,17.23,15.18
Atu0002,62.92,51.95,58.11,61.6,58.61,64.69,63.75,65.06,63.46,61.41,52.27,49.62,52.09,56.92,58.54,20.65,17.43,22.61,13.17,13.32,5.88,12.89,15.79,21.02,33.71,16.7,25.63
Atu0003,58.05,60.27,55.19,59.13,53.84,60.16,65.67,63.08,68.63,58.94,71.67,67.14,61.99,55.34,65.28,18.18,21.44,24.04,16.51,14.41,8.61,15.99,18.55,20.35,29.78,15.45,17.86
Atu0004,89.61,90.57,90.49,99.88,83.02,102.24,105.8,95.14,109.38,87.35,89.82,94.37,86.3,83.19,107.38,48.78,54.37,45.79,38.62,29.35,22.33,31.27,30.16,31.39,57.82,36.31,41.48
Atu0005,128.13,132.43,135.18,115.58,106.7,98.81,113.75,116.32,118.66,135.26,127.91,128.59,110.34,113.22,98.93,134.36,89.32,92.82,66.45,82.2,103.03,115.74,148.25,114.1,126.03,104.52,134.45
Atu0006,2824.19,2699.59,2692.77,2111.16,2171.65,2064.29,1836.9,1805.52,1941.01,1618.17,1558.46,1645.6,1801.29,1845.51,2018.07,123.22,105.84,325.55,100.09,99.96,96.48,146.42,231.85,184.27,166.38,121.94,150.71
Atu0007,161.09,147.42,129.86,53.17,38.47,58.13,75.8,85.36,74.73,89.33,90.26,82.62,65.9,63.59,69.77,136.33,235.11,131.83,215.36,153.85,127.54,189.29,217.87,228.12,75.54,145.05,93.55
Atu0008,372.98,356.95,349.73,382.09,365.03,359.49,371.21,363.25,385.55,375.5,386.77,346.04,320.41,272.03,291.3,422.33,543.41,389.1,594.27,412.26,366.52,596.9,664.46,678.96,252.51,356.78,380.42
Atu0009,75.25,77.57,72.88,67.02,59.08,56.59,66.53,75.96,75.94,68.86,66.61,65.31,55.56,60.45,59.16,27.83,30.01,25.47,42.58,21.38,27.6,48.46,50.89,53.27,19.47,27.0,24.87
Atu0010,78.03,78.19,77.02,57.47,58.37,59.13,67.5,66.33,78.99,77.45,71.46,82.14,65.97,61.71,59.93,89.82,110.47,101.92,106.71,70.98,60.7,97.93,100.67,107.21,52.75,97.87,90.53
Atu0011,16.7,11.92,14.31,9.68,10.77,12.08,18.28,21.64,19.42,19.94,15.02,14.21,15.77,11.17,21.08,9.36,14.87,6.65,4.32,3.25,1.93,14.94,9.64,8.43,10.27,9.91,7.0
Atu0012,380.26,404.57,407.84,369.98,304.56,330.26,409.3,339.28,344.98,346.18,363.2,349.93,309.53,332.39,328.95,165.24,174.0,191.61,268.15,224.79,229.73,263.6,313.38,256.59,290.71,260.52,283.75
Atu0013,153.6,132.32,129.73,210.32,189.06,192.2,198.25,222.14,208.82,213.0,212.44,214.97,160.6,153.28,140.95,289.87,236.99,293.65,233.45,278.54,265.21,224.86,238.99,221.52,216.67,207.08,226.13
Atu0014,286.46,287.83,269.18,329.25,335.57,334.44,282.43,315.01,293.49,322.86,344.03,329.31,413.99,331.6,322.73,164.4,121.16,183.64,32.8,59.89,67.42,92.39,114.77,103.75,330.43,118.83,169.46
Atu0015,77.45,71.29,68.99,89.98,79.53,85.94,99.36,100.71,105.83,98.17,102.88,101.75,83.62,73.21,93.04,254.11,351.67,234.82,400.56,362.99,342.92,503.04,513.69,547.39,138.5,203.22,182.7
Atu0016,147.47,125.0,144.44,69.17,61.8,66.37,76.23,76.39,95.45,87.35,78.76,75.08,76.76,77.22,68.16,66.24,66.01,68.62,48.75,36.08,43.21,65.32,78.83,77.38,44.76,80.51,68.97
Atu0017,105.35,117.76,102.73,88.8,76.11,85.84,101.93,109.34,132.97,97.52,86.93,78.47,89.64,120.29,137.75,52.87,58.11,54.04,46.47,31.79,32.48,41.53,46.78,40.17,58.02,65.13,57.22
Atu0018,396.05,390.3,403.2,462.07,385.49,423.11,411.08,413.7,445.11,412.08,401.49,411.41,396.48,376.83,392.95,100.02,100.69,123.65,98.21,95.93,106.11,121.09,139.47,122.71,240.45,142.58,135.33
Atu0019,487.13,465.82,497.48,487.85,453.05,475.79,538.32,519.13,497.25,481.73,480.38,479.44,470.5,432.2,510.58,115.59,113.04,173.52,110.48,88.28,94.65,116.39,164.85,132.72,260.46,149.14,184.7
