"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu3219",158.651568151728,2.79745538117241,0.157809406912555,17.7267973811126,2.60454405091953e-70,1.05119397895112e-66
"Atu3226",46.2467469170345,2.05920072777403,0.128391159668454,16.0384930947857,6.88036407708575e-58,1.3884574707559e-54
"Atu3147",21.5767580126321,2.87515008799145,0.239344762628099,12.0125882698296,3.0514270655317e-33,3.91988006177485e-30
"Atu4320",236.356354544968,4.36880135944929,0.364291270060641,11.9926051445648,3.88491581940025e-33,3.91988006177485e-30
"Atu0047",247.973399620373,2.85166341817628,0.264834151028333,10.7677329645873,4.88890938140705e-27,3.94632765267177e-24
"Atu3148",7.05267650768604,3.09265324275039,0.313452277994361,9.86642452413769,5.82023450835693e-23,NA
"Atu4319",68.6094873807588,3.34610913302547,0.350022903292884,9.55968624209024,1.18114239187841e-21,7.94515115603547e-19
"Atu3225",65.7654657830435,4.73068638354259,0.573724781489143,8.2455674500651,1.64378272029198e-16,9.47758151299776e-14
"Atu4324",35.7551876303932,1.61698398279816,0.200580612925354,8.06151680970242,7.53535293815513e-16,3.80158555729926e-13
"Atu4362",7.47663480295977,2.09309790889948,0.277887976440194,7.5321643480676,4.99060873455755e-14,NA
"Atu2469",363.53201341295,-2.28744795465283,0.311705877288341,-7.33848195148675,2.16030034975664e-13,9.68774690179754e-11
"Atu3149",6.01094015119333,3.02710442996822,0.420528210933504,7.19833854487086,6.09506604890659e-13,NA
"Atu3224",43.3717858733044,4.75364250457024,0.666147585111285,7.13602002141328,9.60720227718185e-13,3.87746683907059e-10
"Atu4028",100.015595251576,2.23229973125482,0.32609024623278,6.84565011386843,7.61293410678505e-12,2.79325473227132e-09
"Atu4322",28.1924317165248,2.19977702344985,0.338416221933713,6.50021151728573,8.02071578012206e-11,2.69763407404772e-08
"Atu4321",30.3193007359161,2.46642966558045,0.430840555338816,5.72469242975707,1.0362129657635e-08,3.21704271524728e-06
"Atu3223",62.2436071911263,4.24317714802751,0.745351916238268,5.69285065964879,1.24935658172162e-08,3.60171654559175e-06
"Atu4049",135.982622720376,-1.38179143281223,0.251690625527041,-5.4900393287146,4.01844254858109e-08,1.08122894173822e-05
"Atu2346",502.388299473456,1.86995385265237,0.342816970607455,5.45467118894057,4.9063548163763e-08,1.23762800243092e-05
"Atu4726",2641.9952845508,-8.73573041446615,1.62656211479093,-5.37067126734906,7.84440923702854e-08,1.79231948742715e-05
"Atu0943",1336.67249500107,-7.96785101264975,1.48452435275566,-5.36727538208408,7.99349622737581e-08,1.79231948742715e-05
"Atu2347",462.098767218564,1.98268435504697,0.37207552654971,5.32871477313377,9.89101857796084e-08,2.10106057792894e-05
"Atu4165",19096.2646204205,-8.0812743922658,1.52921152628248,-5.28460206673395,1.25978295962031e-07,2.47472101184258e-05
"Atu2203",5554.15353450507,-7.95956613992481,1.50732329707814,-5.28059650862821,1.28763977325803e-07,2.47472101184258e-05
"Atu4039",2293.70723107811,-7.89209188317023,1.50050599007536,-5.25962037830577,1.44353103613857e-07,2.64822330084331e-05
"Atu4143",1157.54308332645,-7.36569117630309,1.42552169142355,-5.16701444854731,2.37862881858893e-07,4.01017380954459e-05
"Atu4050",779.8406173615,-2.02635402702437,0.392206994208746,-5.16654230277667,2.38464250319797e-07,4.01017380954459e-05
"Atu5494",8248.47556916204,-7.75800718634244,1.50936184527007,-5.13992533377859,2.74847664111834e-07,4.43714068942145e-05
"Atu2708",202.206229355106,-2.9253733963241,0.573463180480052,-5.10124014217485,3.3743508571442e-07,5.23803079209e-05
"Atu3356",125.575035937603,1.48713420554685,0.292999125201704,5.07555851753172,3.86359425273937e-07,5.77535792742819e-05
"Atu3334",1103.99033539501,-7.61887398067111,1.50789646807554,-5.05265059105467,4.35720567952714e-07,6.12947280726715e-05
"Atu4323",78.5250667108596,2.35860193804779,0.466994344137317,5.05060065000328,4.4042297178084e-07,6.12947280726715e-05
"Atu1805",15350.4704424894,-6.62518929888868,1.31428347908337,-5.04091347439696,4.63314927830957e-07,6.14011860916079e-05
"Atu4629",918.254391661981,-7.58625831247944,1.50595250669744,-5.0375149805462,4.71614660267553e-07,6.14011860916079e-05
"Atu3728",1551.30208494813,-7.14134095684536,1.42219759749147,-5.02134230112717,5.13116223561594e-07,6.4716783696706e-05
"Atu0728",15104.670487241,-7.51660991464789,1.5010066178,-5.00771270793253,5.50806662022864e-07,6.72375844819554e-05
"Atu4325",43.5163449651405,1.79248705000603,0.358330584887259,5.00232781014211,5.66421673039268e-07,6.72375844819554e-05
"Atu2470",122.015201789043,-2.12235198455818,0.424766418874589,-4.9965154735662,5.83754934062628e-07,6.7315283253622e-05
"Atu3151",29.4082989417179,3.30847775296094,0.664380057986019,4.97979689966938,6.36510356314833e-07,7.10193067852703e-05
"Atu1501",5060.1258305873,-7.58978540958679,1.52545675147241,-4.97541828194142,6.51068967060208e-07,7.10193067852703e-05
"Atu4052",119.317567546813,-1.19784209026258,0.242675800454632,-4.93597667348175,7.97506396673954e-07,8.47035741309494e-05
"Atu5159",4862.115820831,-7.33489218060797,1.48971065376462,-4.92370257410195,8.49218787610771e-07,8.66738387891854e-05
"Atu0236",15456.0136806578,-7.9944402829346,1.62598481843842,-4.91667584609576,8.80261286071729e-07,8.66738387891854e-05
"Atu4051",81.5431566799105,-1.2355804075276,0.251306535924675,-4.91662663281446,8.80482505043757e-07,8.66738387891854e-05
"Atu4145",333.701841749112,-7.70116375367196,1.57789611648032,-4.88065321489623,1.05735029886454e-06,0.000100919554726121
"Atu3333",511.436101003674,-7.20292036481336,1.47681038299613,-4.87734948761681,1.07520833826145e-06,0.000100919554726121
"Atu2348",2743.22800049991,2.58941003742632,0.533849786184816,4.85044689430648,1.23183612934123e-06,0.000112992968591391
"Atu1737",971.076664259801,-7.18966577315237,1.49265259954431,-4.81670401763097,1.459489313845e-06,0.000130899974903965
"Atu4134",1373.74234795305,-7.27825863397964,1.51485111538059,-4.80460327756437,1.5505864757053e-06,0.000136047109042317
"Atu1640",9471.9274903843,-7.13948191138777,1.49065553238126,-4.7894914393688,1.67204530909583e-06,0.000143582443989591
