"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu3576",5291.12133560949,-7.7422527622362,0.229232717024168,-33.7746411713994,4.64924009737938e-250,1.96476886515253e-246
"Atu3575",559.493941326853,-5.75419473707168,0.183804384774108,-31.3060797986047,3.85687548714148e-215,8.14957790432995e-212
"Atu4451",226.720844358441,6.8024719202935,0.218572708347631,31.122238323892,1.20494849331003e-212,1.69737077757606e-209
"Atu4447",1083.89329776232,6.02737088168863,0.196131900124713,30.7312113830339,2.17997081813213e-207,2.30313916935659e-204
"Atu4449",227.813221454578,6.7718044958392,0.236219882183865,28.6673773318042,9.73644445419577e-181,8.22924285268627e-178
"Atu4452",128.215401296814,4.01654958695698,0.144170658750836,27.8596881068471,8.22093380294204e-171,5.79027770853884e-168
"Atu3574",453.524179527992,-5.36382770523532,0.198502844489167,-27.0214148267686,8.28117109564833e-161,4.99946129288712e-158
"Atu4450",242.88825364021,6.7554156167458,0.251193962716816,26.8932244377288,2.63590300550149e-159,1.39241576265616e-156
"Atu4448",174.764990157435,6.77346850990289,0.290017420519817,23.3553849895029,1.21502333683357e-120,5.70520957939853e-118
"Atu3909",149.324119411696,3.10464881624713,0.214874935326908,14.4486317658398,2.5571523431698e-47,1.08065258022356e-44
"Atu0115",333.206521258083,-5.23832142988735,0.371800490376805,-14.0890654140303,4.43390596660712e-45,1.70342605589833e-42
"Atu0116",413.612080952336,-4.46694635268497,0.357674284776174,-12.4888663871385,8.58684051655241e-36,3.02399900191254e-33
"Atu4033",15272.6030320153,-2.49326344833699,0.210153886410082,-11.8639892458224,1.82088183173461e-32,5.91926663146959e-30
"Atu0143",4403.01222100629,-1.57987834108716,0.139222012725652,-11.3479061978542,7.59598976660241e-30,2.2929037681187e-27
"Atu1814",83.0187230127901,3.41936722136027,0.305270518060677,11.2011053117177,4.02677705857651e-29,1.13447732330295e-26
"Atu3253",650.421976420323,-3.46071883670975,0.310564773289776,-11.1433077230581,7.71978494211571e-29,2.03898819783631e-26
"Atu2422",2779.81199075239,-1.12570402056533,0.10250310357037,-10.9821457239343,4.65728159786338e-28,1.15774541368063e-25
