"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu3575",559.493941326853,-1.97670438279097,0.133464094054896,-14.8107578805272,1.24824926658797e-49,4.42878839785413e-46
"Atu4447",1083.89329776232,2.83603632528058,0.19767030573851,14.3473058064283,1.10756998367681e-46,1.96482915104266e-43
"Atu3576",5291.12133560949,-2.51620961776405,0.211323241732005,-11.9069232382638,1.08922662128508e-32,1.28819201743982e-29
"Atu3574",453.524179527992,-1.70964771097399,0.1558351407322,-10.9708741105576,5.27598510655502e-28,4.6797987895143e-25
"Atu4449",227.813221454578,2.56325642623015,0.2474624838012,10.3581617175125,3.84276250256532e-25,2.72682427182035e-22
"Atu4448",174.764990157435,2.93420070183829,0.299366295217427,9.80137292913086,1.1106562851702e-22,6.56768083297311e-20
"Atu0062",336.000655596174,3.02412867225498,0.318858851373413,9.48422369091911,2.44193893940736e-21,1.23771419385962e-18
"Atu4451",226.720844358441,2.20755163177153,0.23415017081248,9.42793090481859,4.18257940390609e-21,1.85497396563235e-18
"Atu4450",242.88825364021,2.42442497559794,0.261952270029277,9.25521651454661,2.1379665906331e-20,8.42833940396248e-18
"Atu3909",149.324119411696,2.01438030408019,0.218863001318491,9.20384117893392,3.45377601448303e-20,1.22539972993858e-17
"Atu1814",83.0187230127901,2.81008554462397,0.306747131047153,9.1609187509956,5.14573280688868e-20,1.65973272716737e-17
"Atu3664",66.4979838604667,2.66223050959413,0.31735517533302,8.38880445797201,4.91110776814944e-17,1.45205086344952e-14
"Atu0066",86.1230987587412,3.58594217782766,0.453197576326683,7.912536088328,2.52197729036549e-15,6.88305802016674e-13
"Atu0063",6869.75373049248,3.26816565993756,0.425163422172273,7.6868457856502,1.50806728176717e-14,3.82187336836422e-12
"Atu0064",952.976067198899,3.58178634188452,0.487969668644102,7.34018233517886,2.13303062791008e-13,5.04532844521665e-11
"Atu0065",852.801590609309,3.653701731623,0.508152646672356,7.19016570227333,6.47127363703377e-13,1.43500492901224e-10
"Atu3663",53.2736017631771,1.30687909542078,0.189472033027402,6.89747755665754,5.29340026727802e-12,1.10476377342955e-09
"Atu1813",69.9713262582782,1.36783430635732,0.19923663809314,6.86537536192455,6.63166440653114e-12,1.30717473968736e-09
"Atu0143",4403.01222100629,-0.894095079664902,0.135729685925813,-6.5873215101492,4.47831846530426e-11,8.36267048152605e-09
"Atu0764",148.898714616655,1.1168433940837,0.170115487331565,6.56520703436547,5.19606170076968e-11,9.21781345716542e-09
"Atu0115",333.206521258083,-2.21455270868034,0.338780260847973,-6.53684102827383,6.28317708695697e-11,1.06155772878683e-08
"Atu3222",953.096638065089,-1.47499521438699,0.227374455194306,-6.48707530987383,8.75185989985246e-11,1.41143631475802e-08
"Atu3177",34.0617065461449,1.66260052470917,0.257136816662584,6.46582059422023,1.00750554941384e-10,1.55418682144362e-08
"Atu4526",72.1068897880282,1.25771580496154,0.197619104428842,6.3643432075891,1.96127151842467e-10,2.89941306140447e-08
"Atu2738",36.0680257025147,-1.31599989469406,0.209750059216522,-6.27413360267793,3.51586518303026e-10,4.98971586775655e-08
"Atu5126",300.037085143148,-1.21835221986592,0.195208417099741,-6.24128937659182,4.33978520955964e-10,5.92213766289138e-08
"Atu3183",29.6050834965329,3.34073382863183,0.555710217841764,6.01164729633078,1.83647540006663e-09,2.41326471090237e-07
"Atu3184",134.491039774636,3.70685099732104,0.620415488015725,5.97478797503373,2.30389623299588e-09,2.91936565523907e-07
"Atu5128",197.467322274463,-1.29752729980536,0.218813495974417,-5.92983213410687,3.03244534798779e-09,3.71004003264161e-07
"Atu3253",650.421976420323,-1.68477705874583,0.290448069860852,-5.80061371918556,6.6072647230494e-09,7.81419174579309e-07
