"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu3687",18.4989215415379,2.60157675103386,0.198930569016205,13.0778128464607,4.40945842929864e-39,1.99263426420006e-35
"Atu3484",25.2941287343825,3.69377890314796,0.361420113605078,10.220180792661,1.61040245923015e-24,3.63870435663052e-21
"Atu3486",37.4535625400451,1.92900649729182,0.21176643504945,9.10912296767605,8.30506017149881e-20,1.25101889716677e-16
"Atu3485",28.9660420783583,3.94856048787235,0.448117716527609,8.81143579519484,1.23553039904856e-18,1.39584046832511e-15
"Atu2264",767.05141312744,3.8291118305117,0.473124390065387,8.09324547817648,5.80956170476114e-16,5.25068186876312e-13
"Atu3488",15.607650209847,2.50548281484332,0.320975487961064,7.80583847931482,5.91072411379545e-15,4.4517603783736e-12
"Atu3022",16.8763517459848,1.78706606129979,0.239356192269929,7.46613674103095,8.25835282510677e-14,5.33135663095107e-11
"Atu4549",11.316093320353,2.48244859738445,0.333847510110249,7.43587572830678,1.03877460441433e-13,5.86777804668543e-11
"Atu3820",31.957108730351,2.40210557819072,0.32499084253109,7.39130235019135,1.45397573159961e-13,7.30057370122073e-11
"Atu4544",10.8154036536973,2.01273164068972,0.276225998366015,7.2865394734595,3.18017645266917e-13,1.4371217389612e-10
"Atu3815",116.298625398097,1.02260742130435,0.143974640977993,7.10269124033212,1.22350549182543e-12,5.02638301596285e-10
"Atu3487",243.069705116905,3.9015015874719,0.553368672834801,7.05045619493649,1.78332150048855e-12,6.71569155058981e-10
"Atu3023",10.8491850470376,1.78852933938008,0.264815479626308,6.75387006040562,1.43952684490069e-11,5.00401677854323e-09
"Atu2506",117.1624263854,3.12335328072751,0.463930051617221,6.73237974095398,1.66910329753434e-11,5.38762700111263e-09
"Atu4515",23.4565096742832,3.00078362165898,0.446576046565409,6.71953555220401,1.82304701728769e-11,5.49223298074871e-09
"Atu3020",20.4868512945851,1.50106706764551,0.230376815630778,6.51570368978125,7.23496710437309e-11,2.04342602154137e-08
"Atu3813",64.1076494440185,2.32108430230991,0.362777100356066,6.39810037632411,1.57321859559275e-10,4.18198519616686e-08
"Atu3021",16.262506639391,1.84733195625134,0.292078357778227,6.32478205610155,2.53590245008041e-10,6.36652398439632e-08
"Atu1125",32.6444118904854,2.96939379340318,0.480305067473283,6.18230785909489,6.31711768116551e-10,1.50247656848352e-07
"Atu2463",54.266366107294,-1.95435091012286,0.318269021527051,-6.14056278787647,8.22296235839305e-10,1.85797834487891e-07
"Atu1163",316.592073991121,1.69040467545775,0.279596610464948,6.04586970008948,1.48606164129499e-09,3.1978631223867e-07
"Atu1349",116.757864777689,1.06150612685584,0.177435987386377,5.98247369370652,2.19774014292739e-09,4.5143580481313e-07
"Atu5513",66.7874324513169,-1.27494786125441,0.22457526759902,-5.67715169566593,1.36956012653376e-08,2.69088791817654e-06
"Atu5000",270.032790422204,1.02843355731139,0.184222447817665,5.58256374016532,2.36998707436274e-08,4.46248816210218e-06
"Atu0860",142.742657072025,0.757929438226741,0.138202953961122,5.48417683199415,4.1539909939366e-08,7.5087541206398e-06
"Atu1508",92.7072905151407,1.05891071293183,0.19405470184456,5.45676400966586,4.84890107280292e-08,8.42776305692169e-06
"Atu3295",232.913672141793,-2.11202481538803,0.389044867831563,-5.42874354611056,5.67521629327104e-08,9.49863052936734e-06
"Atu4548",18.6143515503321,2.61878124230739,0.499739162433852,5.24029621683697,1.60319041803168e-07,2.58743482110184e-05
"Atu3818",37.6036522163201,2.27172717420491,0.434189050279454,5.23211530263781,1.67581158913801e-07,2.6113767487292e-05
"Atu3489",11.2119371784147,1.64441673959713,0.317068300707207,5.18631706774006,2.14493509806078e-07,3.09213419660064e-05
"Atu0929",28.0738574978194,1.02767616356942,0.198156076066048,5.18619556852185,2.14633419860936e-07,3.09213419660064e-05
"Atu1985",270.232037704319,1.32553010390878,0.255771629728329,5.1824751060808,2.18960598121754e-07,3.09213419660064e-05
"Atu2771",5788.27406825344,1.60699407161643,0.316114815727787,5.08357720569554,3.70391921228473e-07,5.07212452130748e-05
"Atu3821",288.144476533448,2.77158515819591,0.551673719843558,5.02395720242368,5.0617521427098e-07,6.72766409791341e-05
"Atu1054",209.187661785383,-1.41892812620125,0.284190970563766,-4.99286843416045,5.94890836432942e-07,7.68089054240133e-05
"Atu4547",26.6924977965712,2.96564961830507,0.594840891613121,4.98561827224532,6.17639825712547e-07,7.75309547887499e-05
