"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu3219",158.651568151728,2.7119731742529,0.11805666492903,22.9717921972743,8.92532733823749e-117,4.46534126732021e-113
"Atu3224",43.3717858733044,6.19865901437367,0.284925120696035,21.7553966432695,6.14131088818985e-105,1.53624891868069e-101
"Atu3740",1154.65864733182,4.59130752702596,0.21410608621347,21.4440775982813,5.18642521072668e-102,8.64922844308853e-99
"Atu3225",65.7654657830435,5.81207052896625,0.271440966832152,21.4119135987317,1.03475448162176e-101,1.29421916788841e-98
"Atu3223",62.2436071911263,5.94538725126303,0.304256364636319,19.5407161272357,4.94830900135407e-85,4.95127798675489e-82
"Atu4319",68.6094873807588,4.13463352445292,0.213556032650424,19.3608837602871,1.6502989142428e-83,1.37607424465945e-80
"Atu4323",78.5250667108596,2.75308259388363,0.144114621128931,19.1034231802241,2.36463431716893e-81,1.69003792697088e-78
"Atu4322",28.1924317165248,3.03854905490201,0.188410158079643,16.1273101507488,1.64009641129515e-58,1.0256752932137e-55
"Atu0047",247.973399620373,3.15860114202205,0.197364339717223,16.0039100606907,1.19996251099245e-57,6.67045826943916e-55
"Atu4320",236.356354544968,4.52105634123241,0.288402875920624,15.6761832793815,2.20087801692811e-55,1.10109927186913e-52
"Atu3226",46.2467469170345,2.0591797487167,0.131550432266408,15.6531583609438,3.16132823654065e-55,1.4378295606739e-52
"Atu3147",21.5767580126321,3.15723884379526,0.201805180544645,15.6449841142546,3.59458951264284e-55,1.49864427764601e-52
"Atu4321",30.3193007359161,3.6348375371012,0.236199295277144,15.3888585181267,1.94432050478641e-53,7.48264268111262e-51
"Atu3222",953.096638065089,6.24100480661227,0.460065429447817,13.5654722288151,6.41650891315596e-42,2.29298529232281e-39
"Atu4442",495.021339016367,-5.83438685330984,0.445278355173267,-13.1027856744565,3.17390912986259e-39,1.05860449178017e-36
"Atu4325",43.5163449651405,1.58966736839842,0.137493167942051,11.561791703486,6.43518869242978e-31,2.01220306426414e-28
"Atu0185",130.22508924953,-2.56585200760858,0.228292324156416,-11.2393266707057,2.61368218193657e-29,7.69191291542862e-27
"Atu4324",35.7551876303932,1.58512583166377,0.143590891167104,11.039180959042,2.47276826073135e-28,6.8729220046883e-26
"Atu0598",220.365833932793,-2.99377924756846,0.280867125416859,-10.6590589522542,1.58189926845025e-26,4.16539054739822e-24
"Atu3148",7.05267650768604,3.33502314848503,0.344470242047419,9.68160015408803,3.61020581213574e-22,9.03092983905756e-20
"Atu4443",328.098772915152,-2.7759168744898,0.287960090979575,-9.63993609338974,5.42217215065587e-22,1.2917679652253e-19
"Atu2022",74.7609408771258,1.19587292264473,0.127127358422006,9.40688878844607,5.11039651191117e-21,1.16215062495871e-18
"Atu0035",464.542751408449,5.88635325036733,0.638502768220797,9.21899409578097,2.99900311420537e-20,6.52348373059542e-18
"Atu3149",6.01094015119333,3.68345261580395,0.401201904883439,9.18104468340973,4.26929212736458e-20,8.89969521383542e-18
"Atu2224",5862.34108033414,3.02323932850668,0.331382562897809,9.12310926099929,7.29993143532125e-20,1.46086227883649e-17
"Atu2115",160.531059587099,2.24518744027083,0.246759522043206,9.09868612842309,9.14311613481496e-20,1.75934653932613e-17
"Atu2345",301.006016983396,1.6468095139969,0.181938526746447,9.05146119102048,1.41067801788258e-19,2.61393411980242e-17
"Atu3151",29.4082989417179,4.07522087314813,0.452816178308292,8.99972454246897,2.26284711970758e-19,4.04322290710608e-17
"Atu1113",127.370050953246,0.907647710733553,0.103878126888718,8.737621074992,2.38070482927542e-18,4.10712629684998e-16
"Atu2469",363.53201341295,-2.31026950670074,0.27552965879778,-8.38483057243692,5.07988693840585e-17,8.47155811761483e-15
"Atu0184",124.276407096882,-1.99683068792071,0.240023926675273,-8.319298478198,8.84854634569533e-17,1.42804120540367e-14
"Atu4362",7.47663480295977,2.66863149488761,0.328038221302524,8.13512365812563,4.11518082098917e-16,6.43382801481525e-14
"Atu3150",5.27164126139905,3.74015727879718,0.472886297702342,7.90921051629078,2.590262754328e-15,3.92699532118273e-13
"Atu0599",220.248800168384,-2.33953305346504,0.29854133667251,-7.83654645464201,4.63107065615121e-15,6.81448426256604e-13
"Atu2471",72.4354418948091,-1.98833698275144,0.263684417597602,-7.54059341415373,4.67837633368025e-14,6.68740479925779e-12
"Atu4361",28.4141014737003,2.21820208901643,0.299505579012619,7.4062129204043,1.29957123845901e-13,1.80604302944734e-11
"Atu1900",17.6139022180985,2.41971053472848,0.338748238120488,7.14309408117961,9.1253121442579e-13,1.23389017993844e-10
"Atu4028",100.015595251576,1.86978451047475,0.272010686390866,6.87393769444766,6.24534940613009e-12,8.22249554707074e-10
"Atu2470",122.015201789043,-1.98091948201437,0.288494834833177,-6.8663949673825,6.5844613823889e-12,8.44668212720299e-10
"Atu1899",82.5513988880091,2.81075379217798,0.413707431470631,6.79406164444864,1.09019765612538e-11,1.36356471839882e-09
"Atu4363",6.4709991403296,2.43597400277832,0.371926227763746,6.54961608226696,5.76851868229257e-11,7.0389997481731e-09
"Atu3103",22.2930876201928,1.5889211623324,0.244651332310086,6.49463523181842,8.32348343158256e-11,9.91485419243037e-09
"Atu4032",957.884133679435,2.47465229943717,0.408196482597367,6.06240476079286,1.34101217728963e-09,1.56025207511164e-07
"Atu3104",47.7547370994345,1.39135907047131,0.231273300926833,6.01608168731717,1.78689426001919e-09,2.03177999610818e-07
"Atu2346",502.388299473456,1.41004581436294,0.235407932427004,5.98979736929712,2.10102641446154e-09,2.33587447812246e-07
"Atu0401",130.436665459185,-1.98562711409549,0.332493880022554,-5.97192078831886,2.34476378462002e-09,2.55018548140303e-07
"Atu2347",462.098767218564,1.48064835745062,0.249459696705278,5.93542114019293,2.93092177144419e-09,3.11987268564581e-07
"Atu4360",13.2502932396702,1.54911639383407,0.262659072191565,5.89782176914205,3.68331513729977e-09,3.83908867331474e-07
"Atu4030",800.475787931275,1.84014541023273,0.31742838224811,5.79704120091702,6.74951138736303e-09,6.89138887162801e-07
"Atu0600",481.751410989702,-2.29055714435507,0.397101745705331,-5.7681870430627,8.01288455903852e-09,8.01769228977394e-07
"Atu1610",271.548924866423,0.806590681159823,0.140382679292392,5.74565669515283,9.15649168995521e-09,8.98233880879332e-07
"Atu4444",173.456662245929,-1.07665112794376,0.193349878101203,-5.56840862025381,2.57076387987898e-08,2.42929240237172e-06
"Atu3100",24.584049092232,1.27859647037998,0.229623797225534,5.56822283155676,2.57350584300822e-08,2.42929240237172e-06
"Atu4031",748.161507158929,2.05739916765323,0.369878363829873,5.5623668990802,2.66140005839442e-08,2.46573786891617e-06
"Atu0895",212.502193455327,-1.53158511444475,0.276039002247958,-5.54843736563347,2.88234105316596e-08,2.62188223436169e-06
"Atu1898",8.84585763816871,2.23520348219801,0.403223082062612,5.5433420893572,2.96752295877443e-08,2.65116381477652e-06
"Atu3200",86.4395755107979,1.64422552800512,0.298946935572688,5.50005814528688,3.79666027184392e-08,3.33240198947985e-06
"Atu4447",1083.89329776232,-4.55883428554257,0.83890674043626,-5.43425635508879,5.50254255381039e-08,4.74641730977817e-06
"Atu0893",51.2394260706392,-1.50746476580516,0.280546361898688,-5.37331782028076,7.73009023031528e-08,6.55485447835039e-06
"Atu0891",99.4063859389704,1.99216600485965,0.382229333955369,5.21196524673917,1.86850558555063e-07,1.55802224075163e-05
"Atu4029",1627.41289186742,1.83681064002164,0.355594618369317,5.16546242585128,2.39845208119354e-07,1.96712389544447e-05
"Atu3218",7.79194328616627,2.74934179215329,0.536938918466277,5.12039954191915,3.04889000106661e-07,2.46025752828004e-05
"Atu4033",15272.6030320153,2.53552995061726,0.512202190779604,4.95025206112067,7.41174255387746e-07,5.88586476143634e-05
"Atu4450",242.88825364021,-5.11127800153387,1.03482836438965,-4.93925193531831,7.84228377663771e-07,6.13046027101851e-05
"Atu3326",67.7742229371979,-1.39332804947141,0.284113578488812,-4.90412340333209,9.38454804747564e-07,7.22321444331086e-05
"Atu4449",227.813221454578,-5.02469136100998,1.03105589003041,-4.87334528573594,1.09724202783074e-06,8.31742706854122e-05
"Atu3199",114.006685903139,1.63373659855369,0.335768244815863,4.86566738748519,1.1407121934306e-06,8.51788522945271e-05
"Atu4451",226.720844358441,-5.0405548744608,1.03660287513487,-4.86257080254093,1.15870911729287e-06,8.52503193208266e-05
"Atu4050",779.8406173615,-1.29857053538466,0.268486676546832,-4.83662933329262,1.32059358751244e-06,9.57526046134022e-05
"Atu2348",2743.22800049991,1.90775442750353,0.394912784884074,4.83082467958982,1.35968692968349e-06,9.71787672743786e-05
"Atu4049",135.982622720376,-1.17994771286219,0.244776687511603,-4.82050690716313,1.43193898494372e-06,0.000100901278051739
"Atu4448",174.764990157435,-4.84763569523276,1.00766943286009,-4.81074004743162,1.50372485487148e-06,0.000104487992346139
"Atu3077",40.8537005975189,-1.30172120868839,0.273554984063371,-4.75853588683598,1.95002226723473e-06,0.000133643306890073
"Atu4358",8.94676439630839,1.44645383546238,0.304647325604281,4.74796170487719,2.05476928747294e-06,0.000138919064124691
"Atu5130",34.0783139846726,1.10383893016838,0.236419302327504,4.66898818878701,3.02686778328392e-06,0.000201912260263593
"Atu0066",86.1230987587412,-3.20618360582694,0.68898302759869,-4.65350157753732,3.26345105677566e-06,0.000214829547855903
"Atu3101",26.7073406238847,1.27502404930361,0.275161078939093,4.63373691591696,3.59123333442491e-06,0.000233336887949712
"Atu4053",93.8993802323042,-1.18141854896894,0.256005436563682,-4.61481820396834,3.93439551963979e-06,0.000252356163907152
"Atu1897",22.2647022576091,1.4025459670524,0.304208652666262,4.61047361657754,4.01752628030735e-06,0.000254426379498451
"Atu4017",55.9552389995618,-0.843589798760222,0.185275826781468,-4.55315630438521,5.28469782766831e-06,0.000330463210501489
"Atu2757",23.9483232114948,-1.03195887591334,0.226776161422859,-4.55056152921247,5.35029383382383e-06,0.000330463210501489
"Atu4494",235.858891804889,-2.32929952284404,0.514508036852883,-4.52723642004074,5.97600694819571e-06,0.000364609301973453
"Atu0894",62.2094346232521,-1.3518141805631,0.299317631791743,-4.51631991229856,6.29235814734349e-06,0.000379285154351319
"Atu0065",852.801590609309,-3.18437727773914,0.705479982528904,-4.5137741064236,6.36840479539426e-06,0.00037929915703997
"Atu4052",119.317567546813,-1.13173636657493,0.251181155048436,-4.50565794379238,6.61676010635379e-06,0.000387175986271945
"Atu3102",76.8288465647192,1.55112628712185,0.344356465011909,4.50442040363089,6.65543370365526e-06,0.000387175986271945
"Atu0064",952.976067198899,-3.113820384088,0.692480310543109,-4.49661937917895,6.90424218436114e-06,0.000397033605153549
"Atu2073",123.417680597009,0.664755600404153,0.148041947529521,4.4903192068018,7.11165162117298e-06,0.000404313557508278
"Atu3762",294.443099871325,-0.881410532933235,0.196617673807557,-4.4828652270392,7.36474454690558e-06,0.000413997943462569
"Atu1662",38.7344024382895,-1.2873300207287,0.28738753583494,-4.47942189625117,7.4845469897846e-06,0.000416057650998804
"Atu3356",125.575035937603,1.25143471181289,0.280145127801012,4.46709432941411,7.92891739589469e-06,0.000435916194853419
"Atu0896",91.9674733458289,-1.18576053671944,0.26846550689662,-4.41680776955845,1.00169238018501e-05,0.000544724671528869
"Atu4080",14.0886084627159,-2.59566714663329,0.590009715735627,-4.39936339590103,1.08568892902802e-05,0.000584053947519054
"Atu1813",69.9713262582782,-1.38870912407186,0.319122630474585,-4.35164727116543,1.35118515460435e-05,0.00071914673707293
"Atu1667",1323.18470006936,-2.89479959593366,0.666713721413092,-4.34189293389398,1.41260370572365e-05,0.000743921719972148
"Atu0062",336.000655596174,-2.200200799828,0.507221649071639,-4.33775018052757,1.43948637790785e-05,0.00075018232798677
"Atu4051",81.5431566799105,-1.07969612666966,0.249059105136038,-4.3350999999776,1.45693875409881e-05,0.00075144995739756
"Atu0063",6869.75373049248,-2.73551496979314,0.63281852118247,-4.32274795731582,1.54097741348446e-05,0.000786684693843138
"Atu2708",202.206229355106,-1.61315955264566,0.376329217138097,-4.28656473954745,1.81457337454631e-05,0.000917001069985372
"Atu3325",25.5925454099506,-1.27595572594587,0.298141560302606,-4.27969761965025,1.87147401700024e-05,0.00093629845070522
"Atu5131",45.2857525182653,0.62975500596841,0.148117163727407,4.25173551883159,2.12120278002442e-05,0.00105073044638239
"Atu4331",33.5978634514302,-1.08959127218199,0.256688647313665,-4.24479728100536,2.18791128334018e-05,0.00107314903436774
"Atu3664",66.4979838604667,-2.72950440871824,0.651849859201944,-4.18732069998443,2.82266850477552e-05,0.00137104956596038
"Atu2310",144.860618885815,1.08910365231536,0.260562928192044,4.17981045834984,2.9175216691213e-05,0.00140349624140518
"Atu2311",51.4924483201481,0.977284951212729,0.234997213720712,4.15870867462371,3.20051772252158e-05,0.00152497049197862
"Atu2309",162.669044080201,1.16415766497087,0.281838360523616,4.13058627934122,3.61839259462393e-05,0.00170781303310411
"Atu1661",66.446914552826,-0.773770841534108,0.18751138360174,-4.12652728955133,3.68282319542664e-05,0.00172197798567472
"Atu0998",48.3595922676578,-0.764829834487717,0.186831952775271,-4.09367789142409,4.24584047318455e-05,0.00196684628586503
