Gene	Module	kME
Atu0001	UNCLASSIFIED	NA
Atu0002	P1_I8_M1	0.97
Atu0003	P1_I8_M1	0.97
Atu0004	P1_I8_M1	0.95
Atu0005	UNCLASSIFIED	NA
Atu0006	P1_I8_M1	0.97
Atu0007	P1_I8_M2	0.83
Atu0008	P2_I7_M5	0.86
Atu0009	P1_I8_M1	0.88
Atu0010	UNCLASSIFIED	NA
Atu0011	UNCLASSIFIED	NA
Atu0012	P1_I8_M1	0.86
Atu0013	UNCLASSIFIED	NA
Atu0014	P1_I8_M1	0.88
Atu0015	P1_I8_M2	0.95
Atu0016	P2_I7_M3	0.92
Atu0017	P1_I8_M1	0.89
Atu0018	P1_I8_M1	0.99
Atu0019	P1_I8_M1	0.99
Atu0020	P1_I8_M1	1.0
Atu0021	P1_I8_M1	0.96
Atu0022	UNCLASSIFIED	NA
Atu0023	P1_I8_M1	0.9
Atu0024	P1_I8_M1	0.95
Atu0025	UNCLASSIFIED	NA
Atu0026	P1_I8_M1	0.95
Atu0027	UNCLASSIFIED	NA
Atu0028	UNCLASSIFIED	NA
Atu0029	P1_I8_M1	0.93
Atu0030	P1_I8_M1	0.95
Atu0031	P1_I8_M1	0.97
Atu0032	P4_I5_M4	0.9
Atu0033	UNCLASSIFIED	NA
Atu0034	P1_I8_M2	0.84
Atu0035	UNCLASSIFIED	NA
Atu0036	P1_I8_M1	0.93
Atu0037	P1_I8_M1	0.98
Atu0038	P1_I8_M1	0.97
Atu0039	P1_I8_M1	0.99
Atu0040	P1_I8_M1	0.99
Atu0041	P1_I8_M1	0.98
Atu0043	P1_I8_M1	0.98
Atu0044	P1_I8_M3	0.85
Atu0045	P2_I7_M3	0.93
Atu0046	P1_I8_M1	0.98
Atu0047	P2_I7_M7	0.99
Atu0048	P1_I8_M1	0.93
Atu0049	P1_I8_M2	0.93
Atu0050	P1_I8_M1	0.98
Atu0051	P1_I8_M1	0.94
Atu0052	P1_I8_M1	0.88
Atu0056	P2_I7_M1	0.84
Atu0058	P1_I8_M1	0.87
Atu0061	P1_I8_M1	0.97
Atu0062	P1_I8_M2	0.83
Atu0063	P2_I7_M4	0.82
Atu0064	UNCLASSIFIED	NA
Atu0065	UNCLASSIFIED	NA
Atu0066	P3_I7_M1	0.85
Atu0068	P1_I8_M3	0.88
Atu0069	P1_I8_M3	0.99
Atu0070	P1_I8_M3	0.99
Atu0071	P1_I8_M3	0.98
Atu0072	UNCLASSIFIED	NA
Atu0073	P1_I8_M1	0.94
Atu0074	P1_I8_M1	0.91
Atu0075	P1_I8_M1	0.85
Atu0076	UNCLASSIFIED	NA
Atu0077	P1_I8_M1	0.94
Atu0078	P2_I7_M2	0.9
Atu0079	P1_I8_M1	0.98
Atu0080	P1_I8_M1	0.97
Atu0081	P1_I8_M1	0.97
Atu0082	P1_I8_M1	0.98
Atu0084	P1_I8_M1	0.99
Atu0085	P2_I7_M3	0.96
Atu0086	P1_I8_M1	0.93
Atu0087	P1_I8_M1	0.99
Atu0088	P1_I8_M1	0.96
Atu0089	P1_I8_M1	0.98
Atu0090	P1_I8_M1	0.97
Atu0091	UNCLASSIFIED	NA
Atu0092	P1_I8_M1	0.95
Atu0093	P1_I8_M1	0.87
Atu0094	UNCLASSIFIED	NA
Atu0095	P2_I7_M3	0.94
Atu0096	P1_I8_M1	0.98
Atu0097	P1_I8_M2	0.8
Atu0098	UNCLASSIFIED	NA
Atu0099	P1_I8_M1	0.98
Atu0100	P1_I8_M1	0.97
Atu0101	P1_I8_M1	0.8
Atu0102	P1_I8_M2	0.92
Atu0103	UNCLASSIFIED	NA
Atu0104	P1_I8_M1	0.86
Atu0105	P2_I7_M1	0.87
Atu0106	P1_I8_M1	0.98
Atu0107	P3_I7_M5	0.85
Atu0108	P1_I8_M1	0.97
Atu0109	UNCLASSIFIED	NA
Atu0110	P1_I8_M1	0.98
Atu0111	P1_I8_M1	0.84
Atu0112	P1_I8_M1	0.95
Atu0113	P1_I8_M2	0.96
Atu0114	P1_I8_M2	0.94
Atu0115	UNCLASSIFIED	NA
Atu0116	UNCLASSIFIED	NA
Atu0117	UNCLASSIFIED	NA
Atu0118	UNCLASSIFIED	NA
Atu0119	P1_I8_M1	0.92
Atu0120	P1_I8_M1	0.9
Atu0121	P2_I7_M3	0.95
Atu0122	P3_I7_M7	0.9
Atu0124	P1_I8_M2	0.88
Atu0125	P1_I8_M2	0.94
Atu0126	P2_I7_M6	0.9
Atu0127	P2_I7_M5	0.82
Atu0128	UNCLASSIFIED	NA
Atu0129	P2_I7_M5	0.88
Atu0130	UNCLASSIFIED	NA
Atu0131	UNCLASSIFIED	NA
Atu0132	UNCLASSIFIED	NA
Atu0133	P1_I8_M1	0.95
Atu0134	UNCLASSIFIED	NA
Atu0135	P1_I8_M1	0.87
Atu0136	P3_I7_M9	0.87
Atu0137	UNCLASSIFIED	NA
Atu0138	P2_I7_M3	0.93
Atu0139	P2_I7_M3	0.96
Atu0140	P2_I7_M3	0.96
Atu0141	P1_I8_M1	0.87
Atu0142	P1_I8_M1	0.89
Atu0143	P1_I8_M2	0.93
Atu0144	UNCLASSIFIED	NA
Atu0145	P2_I7_M1	0.82
Atu0146	P2_I7_M1	0.85
Atu0147	P1_I8_M1	0.86
Atu0148	P2_I7_M2	0.87
Atu0149	P1_I8_M1	0.97
Atu0150	P1_I8_M1	0.94
Atu0151	P1_I8_M1	0.99
Atu0152	UNCLASSIFIED	NA
Atu0153	P1_I8_M1	0.82
Atu0154	UNCLASSIFIED	NA
Atu0156	P1_I8_M1	0.83
Atu0157	P2_I7_M6	0.95
Atu0158	UNCLASSIFIED	NA
Atu0159	UNCLASSIFIED	NA
Atu0160	UNCLASSIFIED	NA
Atu0161	P1_I8_M3	1.0
Atu0162	P1_I8_M3	0.98
Atu0163	P1_I8_M3	0.98
Atu0164	P1_I8_M1	0.97
Atu0165	P3_I7_M4	0.96
Atu0166	UNCLASSIFIED	NA
Atu0167	UNCLASSIFIED	NA
Atu0168	P1_I8_M1	0.96
Atu0169	P1_I8_M1	0.96
Atu0170	P1_I8_M1	0.92
Atu0171	P2_I7_M1	0.82
Atu0172	UNCLASSIFIED	NA
Atu0173	P2_I7_M3	0.91
Atu0174	P2_I7_M1	0.95
Atu0175	UNCLASSIFIED	NA
Atu0176	UNCLASSIFIED	NA
Atu0177	UNCLASSIFIED	NA
Atu0178	UNCLASSIFIED	NA
Atu0179	UNCLASSIFIED	NA
Atu0180	UNCLASSIFIED	NA
Atu0181	P2_I7_M1	0.88
Atu0182	UNCLASSIFIED	NA
Atu0183	P1_I8_M1	0.85
Atu0184	P1_I8_M1	0.87
Atu0185	P1_I8_M1	0.82
Atu0186	P1_I8_M2	0.85
Atu0187	UNCLASSIFIED	NA
Atu0188	P1_I8_M1	0.97
Atu0189	P1_I8_M1	0.97
Atu0190	P1_I8_M1	0.95
Atu0193	P2_I7_M5	0.9
Atu0194	P2_I7_M5	0.95
Atu0195	P1_I8_M1	0.96
Atu0196	P1_I8_M2	0.91
Atu0197	P1_I8_M2	0.93
Atu0198	P1_I8_M2	0.95
Atu0199	P1_I8_M2	0.97
Atu0200	P1_I8_M1	0.96
Atu0201	P1_I8_M2	0.82
Atu0202	P1_I8_M3	0.98
Atu0203	P2_I7_M2	0.9
Atu0204	P5_I3_M1	0.82
Atu0205	P2_I7_M6	0.93
Atu0206	P4_I5_M3	0.82
Atu0207	UNCLASSIFIED	NA
Atu0208	P1_I8_M1	0.84
Atu0209	P1_I8_M1	0.93
Atu0210	UNCLASSIFIED	NA
Atu0211	UNCLASSIFIED	NA
Atu0212	P1_I8_M2	0.83
Atu0213	P1_I8_M1	0.86
Atu0214	P1_I8_M1	0.9
Atu0215	P1_I8_M1	0.84
Atu0216	P1_I8_M1	0.88
Atu0217	P1_I8_M1	0.91
Atu0218	P1_I8_M1	0.93
Atu0219	P1_I8_M1	0.89
Atu0220	P1_I8_M1	0.91
Atu0221	P1_I8_M1	0.84
Atu0222	P1_I8_M1	0.89
Atu0223	UNCLASSIFIED	NA
Atu0224	UNCLASSIFIED	NA
Atu0225	P3_I7_M4	0.84
Atu0226	P2_I7_M2	0.85
Atu0228	UNCLASSIFIED	NA
Atu0229	P1_I8_M3	0.99
Atu0230	P4_I5_M4	0.83
Atu0231	P3_I7_M9	0.81
Atu0232	P2_I7_M4	0.97
Atu0233	UNCLASSIFIED	NA
Atu0234	UNCLASSIFIED	NA
Atu0235	P1_I8_M2	0.93
Atu0236	P1_I8_M2	0.88
Atu0237	P3_I7_M1	0.86
Atu0238	P3_I7_M1	0.89
Atu0239	P1_I8_M2	0.82
Atu0240	P1_I8_M3	0.97
Atu0241	P1_I8_M1	0.99
Atu0242	P2_I7_M2	0.86
Atu0243	P4_I5_M3	0.9
Atu0245	P1_I8_M1	0.89
Atu0246	P1_I8_M1	0.84
Atu0247	P2_I7_M1	0.85
Atu0248	UNCLASSIFIED	NA
Atu0249	P1_I8_M1	0.86
Atu0250	UNCLASSIFIED	NA
Atu0251	UNCLASSIFIED	NA
Atu0252	P2_I7_M2	0.83
Atu0253	P1_I8_M1	0.91
Atu0254	P1_I8_M1	0.98
Atu0255	P1_I8_M1	0.96
Atu0256	P1_I8_M1	0.96
Atu0257	P1_I8_M1	0.98
Atu0258	P1_I8_M1	0.98
Atu0259	P1_I8_M1	0.98
Atu0260	P1_I8_M2	0.95
Atu0261	P1_I8_M2	0.94
Atu0262	P2_I7_M3	0.94
Atu0263	P3_I7_M7	0.83
Atu0264	UNCLASSIFIED	NA
Atu0265	UNCLASSIFIED	NA
Atu0266	P1_I8_M1	0.9
