Iteration	Initial	Fit	Residual
P1_I1	5191	2808	2383
P1_I2	2808	2393	415
P1_I3	2393	2332	61
P1_I4	2332	2294	38
P1_I5	2294	2287	7
P1_I6	2287	2284	3
P1_I7	2284	2283	1
P1_I8	2283	2283	0
P2_I1	2908	1169	1739
P2_I2	1169	1055	114
P2_I3	1055	975	80
P2_I4	975	952	23
P2_I5	952	924	28
P2_I6	924	904	20
P2_I7	904	904	0
P3_I1	2004	489	1515
P3_I2	489	432	57
P3_I3	432	425	7
P3_I4	425	422	3
P3_I5	422	400	22
P3_I6	400	393	7
P3_I7	393	393	0
P4_I1	1611	141	1470
P4_I2	141	119	22
P4_I3	119	100	19
P4_I4	100	99	1
P4_I5	99	99	0
P5_I1	1512	46	1466
P5_I2	46	45	1
P5_I3	45	45	0
P6_I1	1467	0	1467
