Identified Proteins (1678),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,Acetate-R1,Acetate-R2,Acetate-R3,Arabinose-R1,Arabinose-R2,Arabinose-R3,Fumarate-R1,Fumarate-R2,Fumarate-R3,Glucose-R1,Glucose-R2,Glucose-R3,LB-R1,LB-R2,LB-R3,Mannitol-R1,Mannitol-R2,Mannitol-R3,Mannose-R1,Mannose-R2,Mannose-R3,Protocatechuate-R1,Protocatechuate-R2,Protocatechuate-R3,Ribose-R1,Ribose-R2,Ribose-R3,Succinate-R1,Succinate-R2,Succinate-R3,Xylose-R1,Xylose-R2,Xylose-R3
60 kDa chaperonin OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=groL PE=3 SV=2,P30779,groL,58 kDa,,unknown,132.43,138.93,145.98,127.48,149.82,135.19,127.98,137.1,136.55,159.43,149.66,139.6,139.5,127.7,148.17,142.13,135.07,144.54,137.97,130.33,131.93,139.96,134.09,137.11,98.822,100.62,104.38,144.01,131.04,136.36,120.37,116.8,118.26
Elongation factor Tu OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=tufA PE=3 SV=1,Q8UE16,tufA,43 kDa,TRUE,unknown,129.55,136.81,140.05,117.67,149.82,127.18,129.79,147.72,128.91,163.35,133.03,128.47,103.94,123.29,113.13,131.2,130.14,130.39,119.11,111.57,109.77,103.4,97.876,102.32,99.704,108.36,95.844,141.01,145.91,144.7,106.27,107.38,110.18
ATP synthase subunit beta OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=atpD PE=3 SV=1,Q8UC76,atpD,51 kDa,,unknown,117.07,106.05,122.25,109.83,116.52,110.15,113.46,116.83,115.54,122.84,120.84,116.33,94.82,96.873,102.11,113.3,112.4,115.23,106.2,110.58,109.77,109.67,101.79,108.46,104.12,105.46,105.33,113.01,119.89,115.02,102.51,108.32,111.19
DNA-directed RNA polymerase subunit beta' OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpoC PE=3 SV=2,Q8UE09,rpoC,156 kDa,,unknown,104.6,104.99,97.321,101,110.58,93.131,115.27,121.66,122.23,122.84,115.3,113.3,89.35,84.764,83.093,107.34,102.54,114.22,109.18,109.6,98.692,102.36,92.982,100.27,100.59,103.52,106.28,111.01,113.38,113.17,101.56,100.79,108.16
DNA-directed RNA polymerase subunit beta OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpoB PE=3 SV=2,Q8UE08,rpoB,154 kDa,,unknown,108.44,103.93,112.75,104.93,97.5,93.131,118,110.07,109.81,116.3,104.21,117.34,84.791,92.47,72.08,100.38,101.55,98.048,104.22,106.63,108.76,94.003,93.961,90.042,104.12,109.33,104.38,112.01,105.95,106.67,102.51,104.56,101.08
Elongation factor G OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=fusA PE=3 SV=1,Q8UE15,fusA,78 kDa,,unknown,93.082,91.207,87.827,86.294,96.311,89.125,106.2,116.83,107.9,104.54,98.667,100.15,87.527,85.865,98.109,103.37,96.623,97.037,96.279,103.67,98.692,95.048,88.089,89.018,90.881,90.945,89.202,103.01,100.37,101.11,93.101,96.079,94.005
ATP synthase subunit alpha OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=atpA PE=3 SV=1,Q8UC74,atpA,55 kDa,,unknown,83.486,95.449,92.574,75.508,91.555,83.117,88.95,95.586,96.446,105.85,86.472,80.927,73.851,77.058,80.089,85.476,87.749,86.929,83.376,82.938,85.6,89.825,85.152,81.856,76.764,85.14,80.661,95.005,86.429,85.339,78.995,86.66,86.929
Trigger factor OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=tig PE=3 SV=2,Q8UEU0,tig,54 kDa,,unknown,82.526,85.904,84.266,83.353,101.07,80.113,91.673,90.759,97.401,109.77,99.776,94.078,70.204,85.865,81.091,86.47,84.791,90.972,95.287,90.837,88.621,92.959,86.131,87.995,75.881,87.075,77.814,100.01,87.358,90.904,83.697,75.356,80.864
30S ribosomal protein S1 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpsA PE=3 SV=2,Q7CU26,rpsA,62 kDa,,unknown,76.768,84.844,96.134,75.508,87.988,79.111,86.227,89.793,93.581,96.702,86.472,80.927,67.468,82.563,69.077,87.463,87.749,88.951,86.353,76.027,82.579,86.692,82.216,84.926,70.587,76.433,71.172,97.005,90.147,93.687,78.995,83.834,80.864
"ABC transporter, substrate binding protein (Sugar) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4033 PE=4 SV=1",A9CFZ3,Atu4033,36 kDa,,unknown,90.203,89.086,81.892,95.12,99.878,91.128,46.29,43.448,40.106,88.862,85.364,92.055,28.264,25.319,34.038,73.549,65.072,68.735,74.443,76.027,88.621,90.87,83.195,93.111,94.41,98.685,92.049,61.003,55.761,45.452,92.161,90.428,97.037
Isocitrate dehydrogenase [NADP] OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=icdA PE=3 SV=1,A9CII8,icdA,45 kDa,,unknown,74.849,64.693,81.892,73.546,73.72,70.099,79.874,80.138,84.032,75.794,76.495,79.916,71.115,68.252,76.085,83.488,77.89,81.875,76.428,78.001,81.572,78.336,81.237,76.74,67.94,69.66,67.376,79.004,84.57,78.846,83.697,76.298,75.81
Transketolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=tktA PE=3 SV=1,A9CFK9,tktA,72 kDa,,unknown,64.294,66.814,66.463,69.624,71.342,65.092,72.612,70.483,70.663,66.646,52.105,52.603,65.645,66.05,69.077,63.61,64.086,62.67,57.569,55.292,54.381,72.069,71.45,66.508,51.176,53.213,52.192,74.004,70.63,79.773,59.246,62.169,62.67
Glyceraldehyde-3-phosphate dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gapA PE=3 SV=1,A9CFL0,gapA,36 kDa,,unknown,60.455,51.967,51.034,64.721,58.262,62.087,63.536,50.207,57.295,52.272,52.105,52.603,52.881,48.437,60.067,56.652,57.185,59.637,53.599,52.33,54.381,62.669,67.535,54.23,52.058,43.538,55.039,59.003,62.266,63.076,48.901,54.633,50.54
Elongation factor Ts OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=tsf PE=3 SV=2,Q8UFM2,tsf,32 kDa,,unknown,58.536,60.451,58.155,61.779,64.208,58.082,71.705,71.448,70.663,75.794,66.517,65.754,55.616,64.949,59.066,67.585,64.086,66.713,65.509,70.102,69.487,60.58,59.705,58.322,43.235,49.343,45.55,71.004,67.842,72.352,55.484,53.691,58.627
Aconitate hydratase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=acnA PE=3 SV=1,A9CHH6,acnA,97 kDa,TRUE,unknown,118.99,114.54,118.68,50.992,52.317,47.066,56.275,50.207,56.34,58.806,52.105,52.603,35.558,35.227,35.039,54.665,52.255,47.508,53.599,54.305,55.388,74.158,72.428,74.694,49.411,48.375,51.244,58.003,54.831,55.656,49.842,48.982,43.464
Succinate--CoA ligase [ADP-forming] subunit beta OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=sucC PE=3 SV=1,Q8UC60,sucC,42 kDa,TRUE,unknown,77.728,68.935,70.024,69.624,79.665,80.113,74.428,77.241,78.303,48.351,48.779,51.591,55.616,52.84,56.063,44.726,48.311,45.486,44.666,45.418,44.311,63.713,59.705,62.415,30,34.83,31.315,79.004,76.206,82.556,43.259,40.504,42.454
