Pearson Correlation r
       HBXGZ   HBXHA   HBXHB   HBXHC   HBXHG   HBXHH   HBXHN   HBXHO   HBXHP   HBXHS   HBXHT   HBXHU   HBXHW   HBXHX   HBXHY   HBXHZ   HBXNA   HBXNB   HBXNC   HBXNG   HBXNH   HBXNN   HBXNO   HBXNP   HBXNS   HBXNT   HBXNU
HBXGZ  1.000  0.999  0.999  0.951  0.940  0.950  0.959  0.956  0.961  0.958  0.953  0.954  0.923  0.930  0.924  0.066  0.050  0.257  0.068  0.068  0.073  0.109  0.125  0.104  0.767  0.167  0.241
HBXHA  0.999  1.000  1.000  0.947  0.936  0.946  0.955  0.952  0.956  0.954  0.949  0.950  0.919  0.927  0.920  0.064  0.048  0.254  0.066  0.066  0.072  0.107  0.123  0.102  0.761  0.165  0.239
HBXHB  0.999  1.000  1.000  0.947  0.935  0.945  0.955  0.951  0.956  0.954  0.949  0.949  0.918  0.926  0.919  0.065  0.049  0.255  0.067  0.067  0.072  0.108  0.124  0.103  0.761  0.166  0.240
HBXHC  0.951  0.947  0.947  1.000  0.997  0.999  0.987  0.984  0.989  0.968  0.964  0.966  0.971  0.975  0.967  0.110  0.072  0.304  0.088  0.109  0.121  0.136  0.156  0.132  0.846  0.231  0.311
HBXHG  0.940  0.936  0.935  0.997  1.000  0.998  0.975  0.975  0.980  0.958  0.953  0.956  0.968  0.971  0.963  0.114  0.072  0.306  0.086  0.111  0.124  0.133  0.151  0.129  0.844  0.231  0.310
HBXHH  0.950  0.946  0.945  0.999  0.998  1.000  0.984  0.983  0.987  0.967  0.963  0.965  0.970  0.974  0.966  0.110  0.070  0.304  0.085  0.107  0.120  0.133  0.152  0.129  0.845  0.229  0.309
HBXHN  0.959  0.955  0.955  0.987  0.975  0.984  1.000  0.998  0.998  0.988  0.986  0.987  0.963  0.968  0.962  0.103  0.065  0.300  0.082  0.104  0.118  0.129  0.153  0.125  0.858  0.243  0.332
HBXHO  0.956  0.952  0.951  0.984  0.975  0.983  0.998  1.000  0.999  0.989  0.988  0.989  0.962  0.966  0.960  0.108  0.067  0.305  0.085  0.109  0.125  0.133  0.156  0.129  0.865  0.252  0.343
HBXHP  0.961  0.956  0.956  0.989  0.980  0.987  0.998  0.999  1.000  0.988  0.986  0.987  0.966  0.970  0.964  0.109  0.067  0.306  0.085  0.109  0.125  0.133  0.155  0.129  0.860  0.247  0.336
HBXHS  0.958  0.954  0.954  0.968  0.958  0.967  0.988  0.989  0.988  1.000  0.999  0.999  0.945  0.948  0.942  0.092  0.057  0.288  0.075  0.090  0.103  0.121  0.142  0.117  0.846  0.224  0.316
