"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu1534",5.63155294554299,6.40207104727328,2.34834188971576,2.72620910750273,0.00640663962718411,1
"Atu4447",15.0811747460766,3.8121219492124,1.55735187605319,2.44782313350629,0.0143722186665775,1
"Atu1536",7.15011131038905,4.48400688705105,1.9135843609369,2.34325017416825,0.0191165599936558,1
"Atu3574",8.04664371638676,-4.11486035718109,1.78667063398212,-2.30308836946065,0.0212738715579539,1
"Atu2394",4.06428295626545,5.37088997641112,2.38977601254628,2.24744492714549,0.0246116064935669,1
"Atu4654",3.65318735269069,-5.18996888474507,2.46861845924279,-2.10237789696226,0.0355201858064486,1
"Atu4029",9.18037499165617,4.27506768473068,2.03372646614569,2.10208587826109,0.0355457536908966,1
"Atu1899",5.17716046271952,4.30702336321092,2.05846582306578,2.09234630711345,0.0364075481320775,1
"Atu2283",2.98364786081754,4.58535413597659,2.26393808238353,2.02538849081465,0.0428274883204875,1
"Atu3352",5.22623937753797,-4.9570137575777,2.47966110229742,-1.99906904737305,0.0456008835891444,1
"Atu4450",4.34078950861226,7.77768888197613,3.91152405373315,1.98840369511549,0.0467670604627474,1
"Atu1161",3.23481851890469,4.16835749902695,2.1250752717433,1.96151051892268,0.049819499153036,1
"Atu4666",6.37843991569327,2.75277807685837,1.43955589042903,1.91224119546894,0.0558452644503354,1
"Atu0396",7.59478454392541,2.70715397273691,1.46298434907725,1.85043262728299,0.0642512200779721,1
"Atu3282",3.14876264570197,-4.77714423201553,2.69765101567179,-1.77085331062584,0.0765850981162706,1
"Atu4078",11.2012153894818,2.18612789466765,1.25641593142655,1.73997148554579,0.0818640249958956,1
"Atu0141",1.67382948508372,3.65357436587377,2.11897626111028,1.72421675170604,0.0846687211111014,1
"Atu3576",41.7211953638439,-1.8178466217499,1.09627123096988,-1.6582088176679,0.0972753256300055,1
"Atu3205",1.51473655405684,3.65529574509272,2.21085580181368,1.65333973481857,0.0982617404859713,1
"Atu0116",8.75894532285171,-2.28389460970726,1.38905099011982,-1.6442122182356,0.100132374004794,1
"Atu0142",2.86376282015537,3.15374064673551,1.9405870682519,1.62514771861096,0.104131087238003,1
"Atu3235",4.73283498660607,-3.8734016526089,2.38978244003716,-1.62081768939129,0.105056743598077,1
"Atu3585",2.71051070911436,3.05589485531051,1.91900774437417,1.59243487384002,0.111287025566659,1
"Atu4577",2.60559522253676,-4.32714266908444,2.72837913439788,-1.58597557594919,0.112744850134204,1
"Atu0349",4.2029269428399,2.88939811306585,1.85051650409653,1.56140088816799,0.118429192457385,1
"Atu0064",2.70311385848046,4.15206685613432,2.72207808694872,1.52532981182349,0.127176855592458,1
"Atu3368",8.25001731654083,-2.53599508905708,1.68267514803291,-1.50712102215435,0.13177963923669,1
"Atu3239",10.4175762276914,-3.08202172449631,2.25527208389863,-1.36658532090216,0.171755320861119,1
"Atu0946",4.17099596753074,-4.31742898324278,3.18468204422797,-1.35568603812988,0.175199083573217,1
"Atu4142",1.79846241688066,-3.07401288794846,2.27439656956027,-1.35157295305928,0.176511967516283,1
"Atu2741",3.90231777713462,-2.51411505425405,1.8621183399085,-1.35013709943783,0.176972010016377,1
"Atu0732",3.41086154079383,-2.92375763545892,2.17342259675115,-1.34523200404255,0.178550324005119,1
"Atu3755",1.08772586651933,3.16905377705376,2.3877055305946,1.3272381105825,0.184429929273069,1
"Atu4451",5.47925990732287,8.33062006513584,6.37654736840405,1.30644682519168,0.19140065090472,1
"Atu0065",9.64357306500809,1.61181560438994,1.24537573248725,1.29424041463442,0.195582390958887,1
"Atu4842",6.86048722312669,-1.95841725646571,1.52527421557061,-1.28397716061375,0.19914994694719,1
"Atu3222",11.6323553793307,-1.8168880544051,1.42064516740043,-1.27891756231412,0.200926087452651,1
"Atu3212",1.93200540174125,3.17123175341862,2.51362735960143,1.26161570501105,0.20708710219171,1
"Atu2492",12.5382530016721,-2.49515754675036,2.05272270287872,-1.21553561192224,0.224161874902185,1
"Atu0775",2.11050088151159,2.69254151400075,2.25119724222094,1.1960486906711,0.231677558690447,1
"Atu2578",1.42498603932203,2.84850326725184,2.38287101828093,1.19540807932896,0.231927630574284,1
"Atu4780",3.79366481576796,-1.77767905910213,1.51547138452336,-1.17302053820121,0.240787569661155,1
"Atu3198",19.2798883772766,-1.48103799743147,1.27139113877643,-1.16489564246672,0.244061237574442,1
"Atu1074",4.51757871817377,1.63638674078638,1.43421219624436,1.14096557334503,0.253884249609251,1
"Atu2835",1.61447386702772,2.69352894348868,2.37315786568276,1.13499779447405,0.25637624247591,1
"Atu1845",1.12309442636982,2.69254066950689,2.386019821163,1.12846534032332,0.259123446500336,1
"Atu4408",13.6891455684394,1.325788806772,1.20824407056132,1.09728558912445,0.272516568487665,1
"Atu3342",3.75136218534505,-1.74734710539235,1.59871109579562,-1.09297240132231,0.274405917446963,1
"Atu1468",29.8450476385973,1.43840548611347,1.31915110104517,1.09040236935239,0.275535938614599,1
"Atu3341",1.348071025488,-4.46251002102432,4.10852313891826,-1.08615915503868,0.277408584516982,1
"Atu1278",2.82553821070096,1.85794472892868,1.72207214196836,1.07890063583806,0.280632025375325,1
"Atu4600",1.3460120328121,2.46908906556368,2.33103466382299,1.05922451685651,0.289497542065438,1
"Atu0473",6.33534352769748,-2.85882057012806,2.7145423422854,-1.05315011138164,0.2922721990321,1
"Atu0140",0.630604786632343,3.84613377256875,3.65288700758561,1.05290247537957,0.292385691491169,1
"Atu2033",3.45930157334683,-1.59746284306427,1.5363003389688,-1.03981155412393,0.298427460066408,1
"Atu4834",1.21635859967464,2.43200181161919,2.35910191312987,1.03090154693343,0.302586991120456,1
"Atu0035",38.5334351724426,-2.44004026410852,2.37581483024991,-1.02703301328069,0.304404919112033,1
"Atu1174",10.1709247918814,-1.2899584381866,1.26065200986597,-1.02324704049275,0.306191056680687,1
"Atu0647",1.57990972436318,-2.45340411354012,2.41684947304844,-1.01512491402519,0.310046286903651,1
"Atu3597",6.87609706130516,1.37797607692367,1.35820302656414,1.0145582434826,0.310316452479248,1
"Atu2020",1.53396113491937,-2.23151344052218,2.22927598188656,-1.00100367054317,0.316825033836165,1
"Atu2807",0.805916798233619,2.84692865746985,2.84968366588845,0.999033223072589,0.31777859744981,1
"Atu4409",1.2881220273317,2.4320023512222,2.44948436301437,0.99286298289708,0.320776731422699,1
"Atu0626",16.7541999707536,-1.44274208514121,1.45922013291417,-0.988707634029111,0.322806206665629,1
"Atu3575",0.982191441008548,-4.95702152678258,5.06876760715709,-0.977953994139182,0.328097078470667,1
"Atu0977",23.7698115948488,1.11265144768167,1.14043094995404,0.975641223807994,0.329242288367515,1
"Atu1303",0.980436416223582,2.43038772579474,2.49856295892713,0.972714222433816,0.330695354631129,1
"Atu3614",2.9068678278081,1.79032633148649,1.85619912775845,0.964511999123975,0.334789295516598,1
"Atu2760",1.43049623690455,-1.81414297390814,1.90724377429618,-0.951185683947303,0.341510124450414,1
"Atu0372",0.865020620250936,2.43200269166617,2.55777379733655,0.950827901278311,0.341691746416822,1
"Atu3797",0.894843706710065,2.20596168418138,2.32273993895928,0.949723921813556,0.34225255133987,1
"Atu2284",0.860685933315738,2.84551855562381,2.99813571115424,0.949095981558596,0.34257179800346,1
"Atu2024",0.869419138699193,2.43200396273409,2.57003129491705,0.946293520839238,0.34399889713257,1
"Atu4136",2.67582985340403,-1.82368328591055,1.93632119980393,-0.941828910459283,0.346280241073718,1
"Atu1215",0.820350963669666,2.84551561062545,3.02703035729306,0.940035372876164,0.347199416724228,1
"Atu3800",1.00438071494643,-2.45340883938117,2.64997476894738,-0.925823471276187,0.354537727359117,1
"Atu4153",9.252250609749,-1.58675280735437,1.73347866882089,-0.915357561586654,0.360003949793102,1
"Atu0377",3.46296471388459,1.56751504271392,1.72837112884553,0.906931975750458,0.36444277061087,1
"Atu1307",2.82673953431598,1.44736848698483,1.60148817895577,0.903764702108864,0.366120182280361,1
"Atu3472",3.23552913372224,-1.59058877573662,1.76223695532819,-0.902596424917442,0.366740124654249,1
"Atu4344",5.7308236571127,-2.8582735140724,3.18017625523718,-0.898778333233997,0.368770743087898,1
"Atu0047",9.82609100478291,1.5670186961382,1.745653898283,0.897668602968495,0.369362252856852,1
"Atu3032",5.47869386819577,-1.19386807177272,1.34026859680788,-0.890767771934786,0.37305376810604,1
"Atu4522",3.25821107644026,-1.73879919013078,1.9615021216222,-0.886463068769339,0.375368046630993,1
"Atu3476",0.918022291303514,2.43200174718941,2.79789424399457,0.869225758768221,0.384723660909293,1
"Atu1775",1.8636422547232,1.88396252361761,2.19523453309575,0.85820557904618,0.390778955910202,1
"Atu0983",1.64435310120909,2.69359450489434,3.14266078723163,0.857106346264985,0.3913861141828,1
"Atu0622",1.57077392996776,-1.90847540806259,2.22813963293423,-0.856533127391716,0.391702957135753,1
"Atu1132",1.02998304439061,2.20589739851436,2.58005890062112,0.85497947274898,0.392562511837503,1
"Atu2505",19.1287490688698,-0.976532012369495,1.15372056547828,-0.846419871145031,0.397318557050917,1
"Atu2745",25.1967798599072,-0.956047904810111,1.13073439075761,-0.845510592606582,0.39782582102192,1
"Atu4629",0.954869494538056,-2.45341209751265,2.90542353387376,-0.84442494146165,0.398431989878932,1
"Atu4642",17.7501913412046,-0.958756663936089,1.146613456909,-0.836163798845228,0.403062761016401,1
"Atu2300",0.817623216565071,2.43200231955818,2.92794990160304,0.830616097026343,0.406190538265719,1
"Atu0486",1.90968065370394,1.56978093079917,1.89113498035094,0.830073446427319,0.406497259122406,1
"Atu1006",0.980894531373786,2.43200297287547,2.93145941651826,0.82962191431734,0.406752582668006,1
"Atu1529",0.895338166039626,3.16755267388908,3.85812257117321,0.8210088237103,0.411641242202794,1
"Atu4093",0.843312327448951,-2.23201025756153,2.76160942775209,-0.808228069882553,0.418959301598969,1
"Atu2519",0.950250895411076,2.43200133534649,3.01477435125669,0.806694316718173,0.419842619255729,1
"Atu0904",10.488698677076,0.957473572926395,1.19084824356125,0.804026523197495,0.421381657299178,1
"Atu4050",2.10819519947058,1.57177879631647,1.96355637556215,0.800475512635321,0.423435345585412,1
"Atu1952",1.0731469506459,1.88389178429705,2.35666779235483,0.799387928331906,0.424065507964796,1
"Atu1985",2.7403689494329,1.24977038589467,1.56344283430634,0.799370695538837,0.424075497311021,1
"Atu1277",0.968329287987811,2.20586684290832,2.76260817846034,0.798472566651741,0.42459630681197,1
"Atu1285",3.55604396914094,1.27348304681822,1.59997906864271,0.795937316791609,0.426068470016105,1
"Atu1564",3.99266237263795,1.20909280522405,1.51926298721205,0.795841678103948,0.42612406350132,1
"Atu5091",1.03053540563165,-2.23166775922413,2.83770704489418,-0.786433456279257,0.431613589494194,1
"Atu3924",0.993648404883154,1.88671661846076,2.39956064326487,0.786275864190566,0.431705889277945,1
"Atu1163",1.18526906793456,2.43200218944091,3.1063461082587,0.782914107019516,0.433677552822891,1
"Atu4727",19.6195151519592,-0.905655257483147,1.16130314069866,-0.779861197084413,0.435472580386497,1
"Atu2296",0.676995553248398,2.42792625422817,3.11502492985642,0.779424341345505,0.435729789710618,1
"Atu4691",0.750594146876701,-2.23186866342778,2.88069201792885,-0.774768232611151,0.438476623869785,1
