"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu2394",4.06428295626545,4.44218266197518,2.40707292021046,1.84547074776064,0.0649690899306067,1
"Atu4447",15.0811747460766,2.67761919332533,1.56070623677063,1.71564585970117,0.0862268795009228,1
"Atu1161",3.23481851890469,3.66550556899253,2.14589509336516,1.70814760718071,0.0876089572099845,1
"Atu1536",7.15011131038905,3.2500240920863,1.93005438747833,1.68390285432969,0.0922004446359256,1
"Atu3205",1.51473655405684,3.66410307552193,2.21091980100421,1.65727543525445,0.0974638013559637,1
"Atu0141",1.67382948508372,3.44218294604591,2.13059783920375,1.61559487328323,0.106181933072574,1
"Atu0064",2.70311385848046,4.24057630784927,2.72151675857735,1.55816652404742,0.119193778290205,1
"Atu1534",5.63155294554299,3.66385510113182,2.40165019732047,1.52555734603632,0.127120141642745,1
"Atu0349",4.2029269428399,2.80309793306747,1.85311077799643,1.51264455765465,0.130369969568559,1
"Atu3165",2.31923770711912,5.66393485662173,3.74666497992443,1.51172706579598,0.130603310225878,1
"Atu3585",2.71051070911436,2.89427202715596,1.92660909407775,1.50226220568186,0.133029405254933,1
"Atu0775",2.11050088151159,3.21822161329285,2.23126659705631,1.4423294901374,0.149209444636349,1
"Atu0065",9.64357306500809,1.7474243042134,1.24447170527631,1.40414948512263,0.160274340514791,1
"Atu0946",4.17099596753074,-4.30725143279394,3.18468204422797,-1.35249025584848,0.176218533863095,1
"Atu2578",1.42498603932203,3.18232374327214,2.3608514349758,1.34795595187664,0.177672550367327,1
"Atu2283",2.98364786081754,3.06535356288095,2.29708660811781,1.33445275944238,0.182055519103848,1
"Atu4409",1.2881220273317,3.18010110575329,2.39210919676809,1.32941301762053,0.183711745421197,1
"Atu0039",1.67312575109094,-3.1742111134994,2.42920552104066,-1.30668693365211,0.191319058116078,1
"Atu0626",16.7541999707536,-1.91715829761141,1.49934053639465,-1.27866768827678,0.201014102720703,1
"Atu3212",1.93200540174125,3.18502879937074,2.51342037499905,1.26720895201303,0.205080585685347,1
"Atu0142",2.86376282015537,2.45421587552898,1.95943229144409,1.25251374402952,0.21038272337155,1
"Atu4450",4.34078950861226,4.85696034137717,3.92594778336236,1.2371433878872,0.216033854396419,1
"Atu1278",2.82553821070096,2.10932390640114,1.71358975267411,1.23093867893962,0.218345799858437,1
"Atu4078",11.2012153894818,1.54319279233691,1.26500700846725,1.21990849221201,0.222499566182295,1
"Atu4666",6.37843991569327,1.76217749597785,1.46068059191722,1.20640850965569,0.227660016511463,1
"Atu3755",1.08772586651933,2.85644722488752,2.40946236583152,1.18551228082857,0.235814961957979,1
"Atu2835",1.61447386702772,2.70183502368303,2.37323927211215,1.138458753583,0.254928972569607,1
"Atu1749",1.55017919855304,2.85956914743139,2.54349988269515,1.12426549216166,0.26090041299151,1
"Atu1899",5.17716046271952,2.44217845487695,2.17759541900706,1.12150238449277,0.262074077102702,1
"Atu3597",6.87609706130516,1.45333256271772,1.35659110148256,1.07131217441235,0.284029087544735,1
"Atu4834",1.21635859967464,2.44218127826232,2.35910191565707,1.03521652119134,0.300567804889337,1
"Atu0035",38.5334351724426,-2.42986268817813,2.37581483024991,-1.02274918787443,0.306426448198971,1
"Atu3329",1.48989968516314,-2.22134172755737,2.23600979141422,-0.993440071723672,0.320495541627443,1
"Atu4142",1.79846241688066,-2.17095544052648,2.19731549906765,-0.988003516767458,0.32315092586898,1
"Atu1303",0.980436416223582,2.43831190206168,2.4987804284192,0.975800784386738,0.329163195985445,1
"Atu3614",2.9068678278081,1.800010150499,1.85622671356398,0.969714602933902,0.332188769499527,1
"Atu2215",0.680911575022902,2.44218257483718,2.56073437432862,0.953703984028987,0.340233502937961,1
"Atu4519",12.0588393073904,1.87316100718136,1.96414335018084,0.953678359071348,0.340246477776778,1
"Atu2024",0.869419138699193,2.44218386558026,2.57003129773205,0.950254523256345,0.341982940375939,1
"Atu4323",2.47010590381201,-2.21236906231466,2.33553884946012,-0.94726279668868,0.343504883334522,1
"Atu4600",1.3460120328121,2.21799629509129,2.34577206641019,0.945529332048685,0.344388703178834,1
"Atu3074",1.38741689087268,1.99576348546141,2.11647718427687,0.942964800323749,0.345698907709399,1
"Atu1163",1.18526906793456,2.85935089159335,3.07817690107075,0.928910515376398,0.352935463000631,1
"Atu3821",2.62765910247141,2.03550678337703,2.2057068657785,0.922836490631587,0.356092421287617,1
"Atu0121",2.28803497549001,1.81086750452395,1.9676102983212,0.920338496941705,0.35739589754467,1
"Atu1845",1.12309442636982,2.21575079452546,2.4109077309042,0.919052507121227,0.358068108839292,1
"Atu1657",1.17218872426569,2.44218318115253,2.6816429698983,0.91070407528753,0.362451316272248,1
"Atu4153",9.252250609749,-1.57592853845238,1.73341163033621,-0.9091484739529,0.363271758237948,1
"Atu2777",0.627647104690886,-2.44323381792131,2.72045956620263,-0.898095986529111,0.369134378544186,1
