"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Atu1632",82.0350638404645,5.35604110025455,0.197941732355427,27.0586754825261,3.01946705484957e-161,1.48044469699275e-157
"Atu4521",41.206607160723,3.33185553438129,0.132660011218842,25.1157489266672,3.3469194346529e-139,8.20497299405158e-136
"Atu3931",39.7497382103862,3.74320874674353,0.156393645285383,23.9345322497792,1.33904009223592e-126,2.18843785741091e-123
"Atu3933",29.6583585963143,3.9167459589302,0.169824866211483,23.0634420406531,1.07827782227684e-117,1.32169904065584e-114
"Atu4375",34.6722820076318,4.44303584455245,0.193921801404449,22.9114819085551,3.56992157447013e-116,3.50066509592541e-113
"Atu4379",43.7043941310713,4.91114316720855,0.219999969310327,22.3233811468446,2.19079530696868e-110,1.79024489834457e-107
"Atu3912",47.5284047379749,3.92779305974041,0.177457783392066,22.1336758786316,1.49849845250705e-108,1.04959113037744e-105
"Atu0288",34.5552552191271,4.17698940931977,0.192874656249425,21.6564969734442,5.2788132376023e-104,3.23525266299551e-101
"Atu4370",17.2510121456742,6.19276074776892,0.295210125191267,20.9774672997975,1.05357269450718e-97,5.73962991240969e-95
"Atu2516",15.6936530513199,4.48884775119256,0.215591818361797,20.8210487081638,2.7901208844677e-96,1.36799626965451e-93
"Atu2517",24.1655588319394,4.36093040723058,0.214468819799362,20.3336336317338,6.48199506618638e-92,2.88920198268289e-89
"Atu3913",80.8152493048911,3.75588819877001,0.193128541078099,19.4476081981646,3.0534535746951e-84,1.24759023972751e-81
"Atu4372",24.2315460956805,5.31625592082123,0.284893517479006,18.6605015370804,1.03752852283689e-77,3.91307872882251e-75
"Atu3932",45.7268536187707,3.81564742096313,0.204646847469398,18.6450339604361,1.38566354311382e-77,4.85279167991934e-75
"Atu4373",36.775172590711,3.06296227812904,0.166321906090623,18.4158680604595,9.80054155459706e-76,3.20347034947929e-73
"Atu2515",13.1593437833616,4.16306409930204,0.227142680175435,18.327969433515,4.9504350181229e-75,1.51699893086603e-72
"Atu2514",13.4811011945816,4.07967978969771,0.234450105262459,17.4010576157799,8.09936123277645e-68,2.33595106613547e-65
"Atu3391",14.1618017062898,4.42722102451905,0.256744591803393,17.243677825585,1.2483609488553e-66,3.40039651790975e-64
"Atu4377",113.515990406117,5.26631600017862,0.319033268798166,16.5071060457658,3.26153030296217e-61,8.41646477653869e-59
"Atu4369",91.295708735858,6.40142053239059,0.388841756668492,16.4627908978617,6.78964205410236e-61,1.66448074956319e-58
"Atu4376",208.42895302695,3.75019208828853,0.232470312164098,16.1319183227203,1.52217989683879e-58,3.5539276353336e-56
"Atu4378",116.211476674373,5.10389043072345,0.316693121330528,16.1162023642332,1.96308231028076e-58,4.37499662150299e-56
"Atu4374",54.8345488257105,4.44957377035577,0.276489657940669,16.093092969541,2.85225126164064e-58,6.08025562427132e-56
"Atu0071",122.228029639382,2.75437678499399,0.172148744129668,15.9999818698608,1.27812302366853e-57,2.61109882710284e-55
"Atu3911",64.1468448728113,3.34282227143345,0.214600611476885,15.5769466285678,1.04424987745676e-54,2.04798285966819e-52
"Atu0829",21.7973807814097,2.57953633387217,0.168945188849693,15.2684805731113,1.24029456723077e-52,2.33890933197403e-50
"Atu4069",65.2868693852191,2.42073189553936,0.162556445839919,14.8916389198324,3.73500406733856e-50,6.78249071931887e-48
"Atu4070",44.0077393272733,2.25617378184073,0.155404727368259,14.5180511561551,9.31202168127347e-48,1.63060151083157e-45
"Atu2513",8.88669789017628,3.4529148203842,0.240455213069029,14.3599083434841,9.23492006661137e-47,1.5613383822964e-44
"Atu2804",22.8435073964966,2.30369064430066,0.165972184361154,13.8799802699942,8.37670044014775e-44,1.36903207526815e-41
"Atu0229",40.357491985369,4.72961339916161,0.347841135442913,13.5970502543907,4.1691167699427e-42,6.59392887839646e-40
"Atu4876",25.5655911459026,2.16482568076476,0.161287297197293,13.4221709854599,4.4838264514073e-41,6.87006284101562e-39
"Atu4067",33.6968970672638,2.19266362127438,0.163972797661859,13.3721181350827,8.79987611045489e-41,1.30744825968365e-38
"Atu0070",97.9283445296536,2.68034187591395,0.203747340546371,13.1552238607204,1.58812451750686e-39,2.29016897333415e-37
"Atu5156",86.1273965910651,2.73294855466025,0.211315093573966,12.9330494497007,2.92964245858793e-38,4.10401056413046e-36
"Atu2518",72.1156063648459,4.1248221703343,0.318994823571608,12.930686849871,3.02107821013954e-38,4.11454068453171e-36
"Atu4525",480.62425559205,4.30563257260378,0.337325198515243,12.7640407285174,2.60338059130399e-37,3.4498310916658e-35
"Atu4068",74.4190892297077,2.3804406505755,0.187115895251817,12.7217447099935,4.47749601731468e-37,5.77714815076154e-35
"Atu3390",8.26659601347378,2.94602481460341,0.234336121836719,12.5717912864332,3.01807249063842e-36,3.79425882605133e-34
"Atu3691",8.96447944744016,3.04927574910221,0.245208710483264,12.4354299775592,1.67835240771787e-35,2.05724046376018e-33
"Atu1221",56.8686508356722,3.25808698556833,0.265565715379273,12.2684774309637,1.33744686782085e-34,1.59939072998186e-32
"Atu3203",42.9064875285272,3.19406741820556,0.267138503159504,11.9565969728386,5.99695178476946e-33,7.00072728588682e-31
"Atu0828",13.5651893630634,2.3674011904511,0.198705542083885,11.9141175712738,9.99184204061129e-33,1.13930236104924e-30
"Atu0240",16.2074546733327,2.42058971980424,0.204442699072321,11.8399421000989,2.42620401107409e-32,2.70356324234006e-30
"Atu3826",8.86982975270536,2.91917569798201,0.253365434694776,11.5216019955472,1.02683906152941e-30,1.11879820415083e-28
"Atu4371",34.518615364034,5.26088707956837,0.460807458261651,11.4166708573132,3.45205503297007e-30,3.67944039709831e-28
"Atu4524",70.9956141299887,4.86827827972262,0.428614746925797,11.3581679460166,6.75462916389047e-30,7.04637165756489e-28
"Atu2305",13.9263214223091,2.35021820559602,0.210239206035726,11.1787817786785,5.17960964528243e-29,5.29075543558745e-27
"Atu0894",62.2094346232521,3.88011827998957,0.347467259290387,11.1668601177381,5.92380425735628e-29,5.92743107628935e-27
"Atu3092",25.3851855169765,2.1393216877051,0.194414338909106,11.0039295440307,3.65834730357548e-28,3.58737536588611e-26
"Atu4877",14.8520537936359,2.06271948574732,0.187700691819474,10.9894080077829,4.29735434373456e-28,4.13135849947658e-26
"Atu3388",7.6475499393116,2.70056041391425,0.24615551389074,10.9709523513373,5.27142129366877e-28,4.97034203901115e-26
"Atu0780",62.3009697831384,1.38694865556893,0.128124127821492,10.8250388053473,2.61968161847131e-27,2.42345263686129e-25
"Atu4669",75.5243751849718,1.44986991836119,0.135898858916563,10.6687424009304,1.42542513606076e-26,1.29423323001961e-24
"Atu2303",9.64833932886866,2.42212143321685,0.230115441606793,10.525679703649,6.578492085508e-26,5.86442667186286e-24
"Atu3202",41.9488909545018,3.4861696428,0.332149389050827,10.4957882137381,9.03207070774471e-26,7.90790047858434e-24
"Atu4486",30.6091707687614,2.75443628122305,0.264700364262803,10.4058650954041,2.33128854046352e-25,2.00531714278818e-23
"Atu3576",5291.12133560949,-9.23766550496697,0.891360837072718,-10.3635532556086,3.63213070940768e-25,3.07040290831481e-23
"Atu0830",10.7878851862473,2.20451173235029,0.21396641280645,10.3030737555266,6.82451409341597e-25,5.67128688135906e-23
