GeneID	HBXGZ	HBXHA	HBXHB	HBXHC	HBXHG	HBXHH	HBXHN	HBXHO	HBXHP	HBXHS	HBXHT	HBXHU	HBXHW	HBXHX	HBXHY	HBXHZ	HBXNA	HBXNB	HBXNC	HBXNG	HBXNH	HBXNN	HBXNO	HBXNP	HBXNS	HBXNT	HBXNU
639295491	10.44	12.64	13.55	24.69	18.27	22.09	28.78	22.75	27.67	22.29	22.12	23.44	24.19	22.53	24.63	28.39	47.23	27.52	28.49	22.42	18.07	22.01	17.21	22.87	8.94	12.1	11.02
639295492	49.06	40.75	45.34	49.55	47.7	52.5	51.81	52.2	50.2	49.8	42.43	40.84	43.09	46.85	47.02	13.26	10.05	14.71	7.81	9.02	4.13	8.35	10.46	13.56	27.34	11.72	18.61
639295493	45.26	47.28	43.06	47.56	43.82	48.82	53.37	50.61	54.29	47.8	58.18	55.26	51.28	45.56	52.42	11.67	12.36	15.63	9.79	9.77	6.04	10.37	12.29	13.12	24.15	10.85	12.97
639295494	69.88	71.05	70.6	80.34	67.57	82.97	85.98	76.33	86.53	70.84	72.91	77.67	71.39	68.49	86.23	31.31	31.34	29.78	22.9	19.89	15.66	20.27	19.98	20.24	46.89	25.5	30.12
639295495	99.91	103.89	105.47	92.96	86.85	80.18	92.45	93.32	93.87	109.69	103.83	105.85	91.27	93.2	79.45	86.24	51.49	60.36	39.4	55.69	72.25	75.03	98.2	73.57	102.21	73.39	97.64
639295496	2202.26	2117.78	2100.96	1698.08	1767.59	1675.19	1492.91	1448.57	1535.54	1312.32	1265.09	1354.5	1489.96	1519.24	1620.68	79.09	61.02	211.71	59.34	67.72	67.66	94.92	153.57	118.81	134.93	85.63	109.45
639295497	125.62	115.65	101.32	42.77	31.31	47.18	61.6	68.49	59.12	72.44	73.27	68.0	54.51	52.35	56.03	87.5	135.55	85.73	127.68	104.24	89.43	122.71	144.32	147.09	61.26	101.86	67.94
639295498	290.85	280.02	272.86	307.33	297.11	291.73	301.69	291.43	305.01	304.53	313.96	284.82	265.03	223.94	233.94	271.07	313.29	253.04	352.33	279.32	257.02	386.96	440.13	437.77	204.78	250.54	276.27
639295499	58.68	60.85	56.86	53.9	48.09	45.93	54.07	60.94	60.08	55.85	54.07	53.76	45.95	49.76	47.51	17.87	17.3	16.57	25.25	14.49	19.35	31.42	33.71	34.35	15.79	18.96	18.06
639295500	60.85	61.34	60.09	46.22	47.51	47.99	54.86	53.22	62.49	62.81	58.01	67.61	54.57	50.8	48.13	57.65	63.69	66.28	63.27	48.09	42.56	63.49	66.69	69.13	42.78	68.73	65.75
