locus_tag	sysName	scaffoldId	begin	end	strand	type	desc
Atu6000	Atu6000	AE007871	387	1502	-	1	agrocinopine synthase
Atu6001	Atu6001	AE007871	2389	3072	+	1	5 protein
Atu6002	Atu6002	AE007871	3528	5099	-	1	C protein
Atu6003	Atu6003	AE007871	6139	6870	+	1	C
Atu8061	Atu8061	AE007871	7133	7399	+	1	hypothetical protein
Atu6004	Atu6004	AE007871	7578	8273	+	1	D protein
Atu6005	Atu6005	AE007871	8752	9696	+	1	E protein
Atu6007	Atu6007	AE007871	10349	11383	-	1	Mannopine synthase
Atu6008	Atu6008	AE007871	11591	12847	-	1	agrocinopine synthase
Atu6009	Atu6009	AE007871	13461	14126	+	1	indole-3-lactate synthase
Atu6010	Atu6010	AE007871	14631	16034	-	1	indole acetamide hydrolase
Atu6011	Atu6011	AE007871	16372	18639	+	1	tryptophan 2-monooxygenase
Atu6012	Atu6012	AE007871	19337	20059	+	1	isopentenyl transferase
Atu6013	Atu6013	AE007871	20575	21135	+	1	6a protein
Atu6014	Atu6014	AE007871	21618	22241	-	1	6b protein
Atu8062	Atu8062	AE007871	22258	22563	-	1	hypothetical protein
Atu8054	Atu8054	AE007871	23116	23223	-	1	hypothetical protein
Atu6015	Atu6015	AE007871	23231	24472	-	1	D-nopaline dehydrogenase
Atu6016	Atu6016	AE007871	24980	26095	-	1	ornithine cyclodeaminase
Atu6017	Atu6017	AE007871	26092	27174	-	1	NAD/NADP octopine/nopaline dehydrogenase
Atu6018	Atu6018	AE007871	27251	28225	-	1	arginase
Atu6019	Atu6019	AE007871	28273	29691	-	1	D-nopaline dehydrogenase
Atu6020	Atu6020	AE007871	29688	29981	-	1	conserved hypothetical protein
Atu6021	Atu6021	AE007871	29978	31096	-	1	D-nopaline dehydrogenase
Atu6022	Atu6022	AE007871	31704	33740	+	1	N-methylhydantoinase A/acetone carboxylase, beta subunit
Atu6023	Atu6023	AE007871	33744	35699	+	1	N-methylhydantoinase B/acetone carboxylase, alpha subunit
Atu6024	Atu6024	AE007871	35819	36739	-	1	transcriptional regulator, LysR family
Atu6025	Atu6025	AE007871	36854	37579	-	1	ABC transporter, membrane spanning protein (nopaline)
Atu6026	Atu6026	AE007871	37581	38291	-	1	ABC transporter, membrane spanning protein (nopaline)
Atu6027	Atu6027	AE007871	38365	39216	-	1	ABC transporter, substrate binding protein (nopaline)
Atu6028	Atu6028	AE007871	39281	40054	-	1	ABC transporter, nucleotide binding/ATPase protein (nopaline)
Atu6029	Atu6029	AE007871	40362	41210	+	1	transcriptional regulator, LysR family for nopaline metabolism
Atu6030	Atu6030	AE007871	41214	41573	-	1	ORF13 hypothetical protein
Atu6031	Atu6031	AE007871	41570	42886	-	1	conjugal transfer protein
Atu6032	Atu6032	AE007871	42899	43375	-	1	conjugal transfer protein
Atu6033	Atu6033	AE007871	43375	44229	-	1	conjugal transfer protein
Atu6034	Atu6034	AE007871	44247	44909	-	1	conjugal transfer protein
Atu6035	Atu6035	AE007871	44924	46120	-	1	conjugal transfer protein
Atu6036	Atu6036	AE007871	46114	46332	-	1	entry-exclusion protein
Atu6037	Atu6037	AE007871	46329	47132	-	1	conjugal transfer protein
Atu6038	Atu6038	AE007871	47104	49572	-	1	conjugal transfer protein
Atu6039	Atu6039	AE007871	49583	49882	-	1	conjugal transfer protein
Atu6040	Atu6040	AE007871	49875	50276	-	1	conjugal transfer protein
Atu6041	Atu6041	AE007871	50266	51237	-	1	conjugal transfer protein
Atu6042	Atu6042	AE007871	51234	51869	-	1	autoinducer synthesis protein
Atu6043	Atu6043	AE007871	52233	53450	+	1	replication protein A
Atu6044	Atu6044	AE007871	53578	54690	+	1	replication protein
Atu6045	Atu6045	AE007871	54905	56224	+	1	replication protein C
Atu6046	Atu6046	AE007871	56233	57345	-	1	DNA invertase
Atu6047	Atu6047	AE007871	57457	58566	+	1	conserved hypothetical protein
Atu6048	Atu6048	AE007871	58747	61257	-	1	conserved hypothetical protein
Atu6049	Atu6049	AE007871	61460	62647	-	1	hypothetical protein
Atu6050	Atu6050	AE007871	62881	63597	+	1	conserved hypothetical protein
Atu6051	Atu6051	AE007871	63606	64190	+	1	conserved hypothetical protein
Atu6052	Atu6052	AE007871	64358	65185	+	1	conserved hypothetical protein
Atu6053	Atu6053	AE007871	65282	65686	+	1	conserved hypothetical protein
Atu6054	Atu6054	AE007871	65715	66107	-	1	conserved hypothetical protein
Atu6055	Atu6055	AE007871	66431	67327	-	1	transcriptional regulator, LysR family
Atu6056	Atu6056	AE007871	67445	68317	+	1	Phenazine biosynthesis protein
Atu8055	Atu8055	AE007871	68359	68622	-	1	hypothetical protein
Atu6057	Atu6057	AE007871	68748	69689	+	1	ABC transporter, membrane spanning protein (nitrate/sulfonates)
Atu6058	Atu6058	AE007871	69686	70489	+	1	ABC transporter, nucleotide binding/ATPase protein (nitrate/sulfonates)
Atu6059	Atu6059	AE007871	70516	71478	+	1	ABC transporter, substrate binding protein (nitrate/sulfonate)
Atu6060	Atu6060	AE007871	71649	72524	+	1	nitrilotriacetate monooxygenase
